NatEmis,ProvinceCD,Province,Institution,Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,Latitude,Longitude,GISSource1,DRD_Code,DRD_DistanceMoved_Metres,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
973306127,9,LP,AGAPE DAY CARE CENTRE,AGAPE,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,VHEMBE,DZINDI,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,80,4,,,,,,,,,0,,
700700588,7,GT,AGISANANG DAY CARE CENTRE,AGISANANG DAY CARE CENTRE,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,NOT APPLICABLE,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,,,,,NOT APPLICABLE,,,GDE2010,,,,,,,,,TO BE UPDATED,,TO BE UPDATED,,,,,NOT APPLICABLE,TSHWANE WEST,NOT APPLICABLE,,,,,159,,,BLOCK K,SOSHANGUVE,,PRETORIA,152,,,,,TO BE UPDATED,0127974227,0737221985,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
975503310,9,LP,AHITIRHENI,AHITIRHENI,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,LETSITELE,0885,"LETSITELE,0885",P.O.BOX 382,LETSITELE,0885,"P.O.BOX 382,LETSITELE,0885",,0834139456,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,156,6,,,,,,,,,,,
800034989,8,MP,AK MOKOENA PRE-PRIMARY SCHOOL,A .K MOKOENA,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,874125,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP325,BUSHBUCKRIDGE LOCAL MUNICIPALITY,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,BOHLABELA,NOT APPLICABLE,LEHUKWE,,TO BE UPDATED,THE,MANAGER,,OAKLEY,,OAKLEY,,,NEXT TO SELE PRIMARY SCHOOL,,"OAKLEY,NEXT TO SELE PRIMARY SCHOOL,",P.O.BOX 727,BUSHBUCKRIDGE,1280,"P.O.BOX 727,BUSHBUCKRIDGE,1280",0828367815,0828367815,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,,,,,,,,,,,,,,,,,,,,,,,,,
973306333,9,LP,AKANANI CRECHE,AKANANI,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,186,6,,,,,,,,,,,
930321684,9,LP,AKANANI PRE-PRIMARY,AKANANI,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,VHEMBE,VHURONGA 1,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 743,VUWANI,0952,"P.O.BOX 743,VUWANI,0952",,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,,,,,,,,,,,,,,,,,,,,,,,,,
973301407,9,LP,AKANI MPHAMBO CRECHE,AKANI MPHAMBO,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,VHEMBE,MALAMULELE WEST,,,THE,MANAGER,,AKHANIMPHAMBO,STREET,AKHANIMPHAMBO STREET,,,MALAMULELE,982,"AKHANIMPHAMBO STREET,MALAMULELE,982",,,,TO BE UPDATED,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,,,0,,,,,,,,,,,,279,6,,,,,,,,,0,,
700700430,7,GT,AL AQSA NURSERY AND PRE SCHOOL,AL AQSA NURSERY AND PRE SCHOOL,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,NOT APPLICABLE,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,,,,,NOT APPLICABLE,,,GDE2010,,,,,,,,,TO BE UPDATED,,TO BE UPDATED,,,,,NOT APPLICABLE,JOHANNESBURG CENTRAL,NOT APPLICABLE,,,,,10995,,,CNR JEWEL MOONSTONE,X13 LENASIA,JOHANNESBURG,JOHANNESBURG,1820,,,,2013,TO BE UPDATED,0114333380,0834416551,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
700890088,7,GT,ALEXANDRA MONTESSORI NURSERY SCHOOL,ALEXANDRA MONTESSORI NURSERY SCHOOL,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,JOHANNESBURG EAST,TO BE UPDATED,,,,MANAGER,,,,TO BE UPDATED,,,,,,,,,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,
971103408,9,LP,ALFRED PHASOANE PRE S,ALFRED PHASOANE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ECD,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,28.06512,-23.37463,NEIMS 2007,-23.37463,28.06512,NEIMS 2007,D,,96,MOKERONG,DC36,WATERBERG DISTRICT MUNICIPALITY,LIM362,LEPHALALE LOCAL MUNICIPALITY,93602009,9,TO BE UPDATED,TO BE UPDATED,WESTERN,WATERBERG,PALALA SOUTH,,TO BE UPDATED,R H,MATLOU,,THAHAGALKWENA,VILLAGE,THAHAGALKWENA VILLAGE,,ABBOTSPOORT,LEPHALALE,0555,"THAHAGALKWENA VILLAGE,,ABBOTSPOORT,LEPHALALE,0555",P.O.BOX 1252,LEPHALALE,0555,"P.O.BOX 1252,LEPHALALE,0555",,0721111563,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,,,,,,,,,,,,,126,6,,,,,,,,,,,
971103307,9,LP,ALICE PRE S,ALICE PRE S,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,ECD,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.90732,-23.21553,NEIMS 2007,-23.21553,27.90732,NEIMS 2007,D,,96,MOKERONG,DC36,WATERBERG DISTRICT MUNICIPALITY,LIM362,LEPHALALE LOCAL MUNICIPALITY,93602012,12,TO BE UPDATED,TO BE UPDATED,WESTERN,WATERBERG,PALALA NORTH,,TO BE UPDATED,N G,SELEKA,1,WYK,,WYK 1,,,SELEKA,0609,"1 WYK,SELEKA,",P.O.BOX 392,SELEKAO,0609,"P.O.BOX 392,SELEKAO,0609",,0839977506,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,,,,,,,,,,,,,150,6,,,,,,,,,,,
700700394,7,GT,ALJANDER PRE PRIMARY,ALJANDER PRE PRIMARY,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,NOT APPLICABLE,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,,,,,NOT APPLICABLE,,,GDE2010,,,,,,,,,TO BE UPDATED,,TO BE UPDATED,,,,,NOT APPLICABLE,GAUTENG EAST,NOT APPLICABLE,,,,,31,,,KOTZE STREET,LODEYKO,SPRINGS,SPRINGS,1559,,,,,TO BE UPDATED,,,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,13/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,
500100566,5,KZ,AL-NOOR PP,AL-NOOR,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,26.59003,-26.8902,GEOCODE 2010 GOOGLE EARTH,-26.8902,26.59003,GEOCODE 2010 GOOGLE EARTH,D,,196,KLERKSDORP,DC40,SOUTHERN DISTRICT MUNICIPALITY,NW403,MATLOSANA LOCAL MUNICIPALITY,64003018,18,61908000,NONE,ETHEKWINI,PINETOWN,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,46,MEERUT,ROAD,46 MEERUT ROAD,,WESTVILLE,KLERKSDORP,3630,"46 MEERUT ROAD,WESTVILLE,KLERKSDORP,3630",46 MEERUT ROAD,WESTVILLE,3630,"POST OFFICE,WESTVILLE,3630",0312667037,0846887866,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,,,,,,71,6,,,,,,,,,,,,,,,,,,
700899916,7,GT,ALPHA ACADEMY,ALPHA ACADEMY,OPEN,CLOSED,INDEPENDENT,EARLY CHILDHOOD DEVLOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,,,TO BE UPDATED,Y,,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG NORTH,NOT APPLICABLE,,,LG,BOURHILL,158,ARKANSAS,AVENUE,ARKANSAS AVE,BERARIO,JHB,JOHANNESBURG,2195,"158 ARKANSAS AVENUE,BERARIO,,JOHANNESBURG,",,,,TO BE UPDATED,0116782311,,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,0,,
