NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,LURITS_Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,GIS_InCorrect,GISSource1,Latitude,Longitude,GISSource2,DRD_Code,DRD_DistanceMoved_Metres,GIS_InCorrect1,LongDIFF,LatDIFF,LongDIFFYN,LatDIFFYN,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO,Status_2007,Status_2008,Status_2009,Status_2010,Status_2011,Status_2012,Status_2013
441705097,441705097,4,FS,SEOTLONG AS/S,SEOTLONG A,SEOTLONG AS/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,AGRICULTURE,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),124223,823129,8168,3192026,TO BE UPDATED,28.852361,-28.458579,FSED 2007,99,DRD 2012,-28.4578113587,28.8524195943,,M,75,,0,0,0,0,333,WITSIESHOEK,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904003,3,41512000,PHUTHADITJHABA SP,NOT APPLICABLE,THABO MOFUTSANYANA,CIRCUIT 9,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,GF,MYNHARDT,,WELTEVREDE,FARM,WELTEVREDE FARM,PHUTHADITJHABA,PHUTHADITJHABA,PHUTHADITJHABA,9870,"WELTEVREDE FARM,WELTEVREDE,PHUTHADITJHABA,9870",PRIVATE BAG X866,WITSIESHOEK,9870,"PRIVATE BAG X866,WITSIESHOEK,9870",0587140127,0824108055,Urban,YES,ABCDE,3,Y,MALUTI-A-PHOFUNG,RURAL,,YES,,,1,NOT MOVED,TO BE UPDATED,FS,FS,441705097,441705097,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS41705097,0,TO BE UPDATED,TO BE UPDATED,418,17,344,20,418,18,432,17,,312,22,,403,22,,560,22,,,,,,16,25,41,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
442807172,442807172,4,FS,SILAS PF/S,SILAS,SILAS PF/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),127001,820908,2229,99,TO BE UPDATED,27.406142,-28.536058,FSED 2007,99,DRD 2012,-28.5374628856,27.4106278403,,M,518,,0,0,0,0,366,MARQUARD,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS191,SETSOTO LOCAL MUNICIPALITY,41901001,99,41210003,MARQUARD NU,NOT APPLICABLE,THABO MOFUTSANYANA,CIRCUIT 34,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,MJ,KOTSOANE,,SILAS,FARM,SILAS FARM,,MOEMANENG,MARQUARD,9610,"SILAS FARM,MOEMANENG,MARQUARD,9610",P.O.BOX 125,MARQUARD,9610,"P.O.BOX 125,MARQUARD,9610",0734391808,0823420460,Rural,NO,NONE,1,N,NOT APPLICABLE,NOT APPLICABLE,,YES,,,,NOT MOVED,TO BE UPDATED,FS,FS,442807172,442807172,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS42807172,0,TO BE UPDATED,TO BE UPDATED,16,2,26,2,12,2,13,2,,14,2,,13,1,,8,1,,,,,,7,7,14,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
440304221,440304221,4,FS,ST ANDREW'S C/S,ST ANDREW'S,ST ANDREW'S C/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),123231,193328,1364,3171066,ST ANDREW`S SCHOOL,26.204445,-29.10676,FSED 2007,99,DRD 2012,-29.106986442,26.2033847761,,M,120,,0,0,0,0,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702020,20,40502058,WESTDENE,NOT APPLICABLE,MOTHEO,CIRCUIT 16,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,CR,THOMAS,,DAN PIENAAR,DRIVE,GEN DAN PIENAAR DR,,WESTDENE,BLOEMFONTEIN,9324,"DAN PIENAAR DRIVE,WESTDENE,BLOEMFONTEIN,9324",P.O.BOX 12331,BRANDHOF,9324,"P.O.BOX 12331,BRANDHOF,9324",0514442639,0826536599,Urban,YES,ABCDE,5,N,NOT APPLICABLE,NOT APPLICABLE,,NO,,,0,NOT MOVED,TO BE UPDATED,FS,FS,440304221,440304221,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS40304221,0,TO BE UPDATED,TO BE UPDATED,647,40,637,39,673,43,689,42,,687,40,,685,42,,696,42,73,,,,,,170,170,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
444712087,444712087,4,FS,ST ANDREW'S CI/S,ST ANDREW'S C,ST ANDREW'S SCHOOL,OPEN,OPEN,INDEPENDENT,ORDINARY SCHOOL,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,INDEPENDENT,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3182042,TO BE UPDATED,26.704295,-27.98791,FSED 2007,99,FSED 2007,-27.98791,26.704295,,U,0,,,,,,314,WELKOM,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS184,MATJHABENG LOCAL MUNICIPALITY,41804032,32,41022007,LAKEVIEW,NOT APPLICABLE,LEJWELEPUTSWA,CIRCUIT 5,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,C,JEWELL,,CORNER HAMLET AND ST ANDREW,STREET,CNR HAMLET & ST ANDREW'S WAY,ST HELENA,ST HELENA,WELKOM,9466,"CORNER HAMLET AND ST ANDREW STREET,LAKEVIEW,WELKOM,9466",P.O.BOX 55107,EERSTEMYN,9466,"P.O.BOX 55107,EERSTEMYN,9466",0573522218,0829243398,Urban,NO,NONE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,,,,,,NOT MOVED,TO BE UPDATED,FS,FS,444712087,444712087,YES,TO BE UPDATED,04/03/2008,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,374,29,388,23,360,27,387,31,,372,32,,386,35,,377,36,25,,,,,10,2,12,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
443907217,443907217,4,FS,ST AUGUSTINES P/S,ST AUGUSTINES,ST AUGUSTINES P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),126561,930043,7478,3173022,TO BE UPDATED,26.820115,-29.188345,FSED 2007,99,DRD 2012,-29.1871206295,26.812369876,,M,870,,0,0,0,0,359,THABA 'NCHU,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702042,42,40510003,BULTFONTEIN EXT 3,NOT APPLICABLE,MOTHEO,CIRCUIT 21,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,MC,MHOLO,3035,ONE,UNIT,3035 UNIT 1,SELOSESHA,SELOSESHA,THABANCHU,9783,"3035 ONE UNIT,SELOSESHA,THABANCHU,9783",P.O.BOX 222,SELOSESHA,9783,"P.O.BOX 222,SELOSESHA,9783",0518732415,084310788,Urban,YES,ABCDE,3,N,NOT APPLICABLE,NOT APPLICABLE,,YES,,,1,NOT MOVED,TO BE UPDATED,FS,FS,443907217,443907217,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS43907217,0,TO BE UPDATED,TO BE UPDATED,641,17,654,19,696,17,496,19,,479,19,,475,19,,439,19,29,,,,,62,47,109,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
440304222,440304222,4,FS,ST MICHAEL'S C/S,ST MICHAEL'S,ST MICHAEL'S C/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),123232,193330,4730,3171068,ST MICHAELS SCHOOL,26.199795,-29.10321,FSED 2007,99,DRD 2012,-29.1033793426,26.2003658578,,M,66,,0,0,0,0,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702020,20,40502008,BRANDWAG,NOT APPLICABLE,MOTHEO,CIRCUIT 16,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,A,VAN WYK,,KLERCK,AVENUE,KLERCK AVENUE,BRANDWAG,BRANDWAG,BLOEMFONTEIN,9324,"KLERCK AVENUE,BRANDWAG,BLOEMFONTEIN,9324",P.O.BOX 12110,BRANDHOF,9324,"P.O.BOX 12110,BRANDHOF,9324",0514015700,0828254082,Urban,YES,ABCDE,5,N,NOT APPLICABLE,NOT APPLICABLE,,NO,,,0,NOT MOVED,TO BE UPDATED,FS,FS,440304222,440304222,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS40304222,0,TO BE UPDATED,TO BE UPDATED,576,33,582,29,484,36,546,34,,606,33,,615,33,,626,35,48,,,,,101,,101,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
442710262,442710262,4,FS,STEYNSRUS C/S,STEYNSRUS,STEYNSRUS C/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),129221,194304,6404,3202043,STEYBNSRUS H\SCHOOL,27.56699,-27.951759,FSED 2007,99,FSED 2007,-27.951759,27.56699,,O,0,,0,0,0,0,331,LINDLEY,DC20,FEZILE DABI DISTRICT MUNICIPALITY,FS201,MOQHAKA LOCAL MUNICIPALITY,42001002,2,41706000,STEYNSRUS SP,NOT APPLICABLE,FEZILE DABI,CIRCUIT 3,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,DC,VAN SCHALKWYK,,SMUTS,STREET,SMUTSSTREET,,,STEYNSRUS,9515,"SMUTS STREET,STEYNSRUS,9515",P.O.BOX 23,STEYNSRUS,9515,"P.O.BOX 23,STEYNSRUS,9515",0564710123,0835010267,Urban,YES,ABCDE,4,N,NOT APPLICABLE,NOT APPLICABLE,,NO,,,,NOT MOVED,TO BE UPDATED,FS,FS,442710262,442710262,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS42710262,0,TO BE UPDATED,TO BE UPDATED,479,26,436,23,542,22,536,21,,569,25,,625,29,,653,28,31,,,,,120,126,246,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
444802108,444802108,4,FS,SUIDOOSHOEK PF/S,SUIDOOSHOEK,SUIDOOSHOEK PF/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),121887,820640,1802,99,TO BE UPDATED,26.92128,-29.605992,FSED 2007,99,FSED 2007,-29.605992,26.92128,,U,0,,0,0,0,0,343,WEPENER,DC17,MOTHEO DISTRICT MUNICIPALITY,FS171,NALEDI LOCAL MUNICIPALITY,41701002,2,40403002,WEPENER NU,NOT APPLICABLE,MOTHEO,CIRCUIT 25,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,M.M,MACHOGO,,GELUKSDAM,,GELUKSDAM,,QIBING,WEPENER,9944,"GELUKSDAM,QIBING,WEPENER,9944",P.O.BOX 337,WEPENER,9944,"P.O.BOX 337,WEPENER,9944",052320763154620,0727891236,Rural,NO,NONE,1,N,NOT APPLICABLE,NOT APPLICABLE,,YES,,,1,NOT MOVED,TO BE UPDATED,FS,FS,444802108,444802108,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS44802108,0,TO BE UPDATED,TO BE UPDATED,51,2,33,2,74,3,70,3,,51,1,,37,1,,53,1,,,,,,3,8,11,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
443907215,443907215,4,FS,TAWANA I/S,TAWANA,TAWANA P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),126564,930047,7480,99,TO BE UPDATED,26.824849,-29.198928,FSED 2007,99,DRD 2012,-29.1987131527,26.8266995007,,M,207,,0,0,0,0,359,THABA 'NCHU,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702040,40,40510011,SELOSESHA,NOT APPLICABLE,MOTHEO,CIRCUIT 9,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,RG,PHAJANE,,RATLOU   CIVIC CENTRE,VILLAGE,RATLOU VILLAGE CIVIC CENTRE,RATLOU VILLAGE,RATLOU LOCATION,THABANCHU,9780,"RATLOU   CIVIC CENTRE VILLAGE,RATLOU VILLAGE,THABA NCHU 18,THABANCHU,9780",P.O.BOX 145,THABANCHU,9780,"P.O.BOX 145,THABANCHU,9780",0518733069,0744042441,Urban,NO,NONE,1,N,NOT APPLICABLE,NOT APPLICABLE,,YES,,,,NOT MOVED,TO BE UPDATED,FS,FS,443907215,443907215,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS43907215,0,TO BE UPDATED,TO BE UPDATED,594,20,575,15,531,21,513,21,,449,20,,431,19,,532,17,34,,,,,31,48,79,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
441705214,441705214,4,FS,TLOKWENG P/S,TLOKWENG,TLOKWENG P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),124802,913039,9008,99,TO BE UPDATED,28.860153,-28.627123,FSED 2007,99,DRD 2012,-28.6268760758,28.8600782761,,M,25,,0,0,0,0,333,WITSIESHOEK,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904021,21,41511002,MARABENG,NOT APPLICABLE,THABO MOFUTSANYANA,CIRCUIT 11,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,MP,MALOKA,,TSHESENG,VILLAGE,TLOKWENG,TSESENG VILLAGE,TSESENG VILLAGE,PHUTHADITJHABA,9866,"TSHESENG VILLAGE,PHUTHADITJHABA,9866",P.O.BOX 5761,PHUTHADITJHABA,9866,"P.O.BOX 5761,PHUTHADITJHABA,9866",0587897518,0848364692,Urban,NO,NONE,1,Y,MALUTI-A-PHOFUNG,RURAL,,YES,,,,NOT MOVED,TO BE UPDATED,FS,FS,441705214,441705214,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS41705214,0,TO BE UPDATED,TO BE UPDATED,246,8,260,6,235,11,179,11,,236,11,,260,11,,256,9,58,,,,,11,14,25,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
445008258,445008258,4,FS,TLONGKGANYENG P/S,TLONGKGANYENG,TLONGKGANYENG,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),127536,820255,6570,99,TO BE UPDATED,27.002962,-28.510221,FSED 2007,99,DRD 2012,-28.5167545835,27.0054342579,,M,703,,0,0,0,0,361,WINBURG,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS181,MASILONYANA LOCAL MUNICIPALITY,41801005,5,40716000,WINBURG SP,NOT APPLICABLE,LEJWELEPUTSWA,CIRCUIT 7,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,M.A,PHAKOE,1094,MAKELEKETLA,,1094 OLD LOCATION,MAKELEKETLA,MAKELEKETLA,WINBURG,9420,"1094 MAKELEKETLA,MAKELEKETL,WINBURG,9420",P.O.BOX 80,WINBURG,9420,"P.O.BOX 80,WINBURG,9420",0518810387,0824358319,Urban,NO,NONE,2,N,NOT APPLICABLE,NOT APPLICABLE,,YES,,,,NOT MOVED,TO BE UPDATED,FS,FS,445008258,445008258,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS45008258,0,TO BE UPDATED,TO BE UPDATED,989,29,965,29,990,34,957,30,,854,31,,945,34,,978,31,117,,,,,4,7,11,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
444103230,444103230,4,FS,TROMPSBURG P/S,TROMPSBURG,TROMPSBURG P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),122538,193131,9303,99,TO BE UPDATED,25.772905,-30.035794,FSED 2007,99,DRD 2012,-30.0387671644,25.7778358216,,M,624,,0,0,0,0,354,TROMPSBURG,DC16,XHARIEP DISTRICT MUNICIPALITY,FS162,KOPANONG LOCAL MUNICIPALITY,41602004,4,40210009,TROMPSBURG NU,NOT APPLICABLE,XHARIEP,CIRCUIT 5,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,GJB,MARX,,WESSEL,STREET,WESSELSTRAAT 5,,NOORDMANVILLE,TROMPSBURG,9913,"WESSEL STREET,NOORDMANVILLE,TROMPSBURG,9913",P.O.BOX 171,TROMPSBURG,9913,"P.O.BOX 171,TROMPSBURG,9913",0517130150,0832818402,Urban,YES,ABCDE,4,N,NOT APPLICABLE,NOT APPLICABLE,,NO,,,,NOT MOVED,TO BE UPDATED,FS,FS,444103230,444103230,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS44103230,0,TO BE UPDATED,TO BE UPDATED,140,9,152,10,123,10,135,9,,122,10,,128,9,,129,10,,,,,,29,38,67,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
440101280,440101280,4,FS,TRUIDA KESTELL P/S,TRUIDA KESTELL,TRUIDA KESTELL P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),120540,191122,9551,99,TO BE UPDATED,28.274175,-28.252918,FSED 2007,99,DRD 2012,-28.254390256,28.273742471,,M,152,,0,0,0,0,332,BETHLEHEM,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS192,DIHLABENG LOCAL MUNICIPALITY,41902017,17,41304001,BETHLEHEM NU,NOT APPLICABLE,THABO MOFUTSANYANA,CIRCUIT 35,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,AJ,PELSER,14,WESSELS,STREET,14 WESSELS STR,,BOHLOKONG,BETHLEHEM,9700,"14 WESSELS STREET,BOHLOKONG,BETHLEHEM,9700",P.O.BOX 91,BETHLEHEM,9700,"P.O.BOX 91,BETHLEHEM,9700",0583034888,0834585220,Urban,YES,ABCDE,4,N,NOT APPLICABLE,NOT APPLICABLE,,NO,,,0,NOT MOVED,TO BE UPDATED,FS,FS,440101280,440101280,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS40101280,0,TO BE UPDATED,TO BE UPDATED,787,33,778,36,801,39,850,39,,883,40,,839,39,,819,36,63,,,,,69,74,143,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
445101228,445101228,4,FS,TSEKI S/S,TSEKI,TSEKI S/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),124223,914036,4498,3193034,TSEKI SEC SCHOOL,28.734356,-28.500575,FSED 2007,99,FSED 2007,-28.500575,28.734356,,U,0,,0,0,0,0,333,WITSIESHOEK,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904003,3,41507003,WITSIESHOEK NU,NOT APPLICABLE,THABO MOFUTSANYANA,CIRCUIT 11,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,T.C,SERERO,,TSEKI,VILLAGE,TSEKI VILLAGE,WITSIESHOEK,WITSIESHOEK,QWAQWA,9870,"TSEKI VILLAGE,QWAQWA,9870",P.O.BOX 846,WITSIESHOEK,9870,"PRIVATE BAG X846,WITSIESHOEK,9870",0587136637,0827538261,Urban,YES,ABCDE,1,Y,MALUTI-A-PHOFUNG,RURAL,,YES,,,1,NOT MOVED,TO BE UPDATED,FS,FS,445101228,445101228,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS45101228,0,TO BE UPDATED,TO BE UPDATED,185,12,205,12,172,12,174,11,,212,11,,195,13,,205,12,,,,,,9,22,31,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
442908191,442908191,4,FS,TSHIRELETSO P/S,TSHIRELETSO,TSHIRELETSO P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),127537,821112,6693,99,TO BE UPDATED,26.652964,-27.771922,FSED 2007,99,FSED 2007,-27.771922,26.652964,,U,0,,0,0,0,0,315,ODENDAALSRUS,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS184,MATJHABENG LOCAL MUNICIPALITY,41804036,36,41001001,LORAINE GOLD MINE,NOT APPLICABLE,LEJWELEPUTSWA,CIRCUIT 9,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,M.D.,MOKEBE,378,NYAKALLONG,,378,NYAKALLONG,NYAKALLONG,ODENDAALSRUS,9490,"378 NYAKALLONG,ALLANRIDGE,ODENDAALSRUS,9490",P.O.BOX 71,ALLANRIDGE,9490,"P.O.BOX 71,ALLANRIDGE,9490",0796335966,0724982292,Urban,YES,ABCDE,3,N,NOT APPLICABLE,NOT APPLICABLE,,YES,,,,NOT MOVED,TO BE UPDATED,FS,FS,442908191,442908191,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS42908191,0,TO BE UPDATED,TO BE UPDATED,1151,37,1249,38,1111,37,1099,35,,1056,34,,1062,35,,1038,32,70,,,,,7,6,13,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
445101283,445101283,4,FS,TSHITSO P/S,TSHITSO,TSHITSO P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),120542,914025,4492,99,TO BE UPDATED,28.774524,-28.569905,FSED 2007,99,DRD 2012,-28.5695493086,28.7800888803,,M,620,,0,0,0,0,333,WITSIESHOEK,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904010,10,41509005,PABALLONG,NOT APPLICABLE,THABO MOFUTSANYANA,CIRCUIT 11,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,MJ,MOKOENA,,WITSIESHOEK,,TSEKI VILLAGE,NEXT TO TSEKI HIGH SCHOOL,NEXT TO TSEKI HIGH SCHOOL,PHUTHADITJHABA,9870,"WITSIESHOEK,PHUTHADITJHABA,",P.O.BOX 13140,WITSIESHOEK,9870,"P.O.BOX 13140,WITSIESHOEK,9870",0587890091,0826611134,Urban,YES,ABCDE,1,Y,MALUTI-A-PHOFUNG,RURAL,,YES,,,,NOT MOVED,TO BE UPDATED,FS,FS,445101283,445101283,YES,TO BE UPDATED,04/03/2008,NOT MOVED,FS45101283,0,TO BE UPDATED,TO BE UPDATED,226,8,239,9,226,9,241,10,,208,11,,173,9,,150,7,,,,,,17,9,26,,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
