NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,PED_Institution,PED_Name,DoE_Status,PED_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,Snap_Learners_2012,Educator_Numbers_2012,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
700910158,910158,7,GT,BOITSHEPO SECONDARY SCHOOL,BOITSHEPO SECONDARY SCHOOL,BOITSEPO,BOITSEPO,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,BOPHUTATSWANA(BOP),TO BE UPDATED,TO BE UPDA,TO BE UPDATED,8910158,BOITSHEPO SECONDARY SCHOOL,28.2876149999,-25.3712949999,GDE2010,207,MORETELE,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79600073,73,67607000,NONE,NOT APPLICABLE,TSHWANE NORTH,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,PK,GANYANE,1468,,STAND,1468  STAND,MAROKOLONG VILLAGE,,HAMMANSKRAAL,,"1468  STAND,MAROKOLONG VILLAGE,MAROKOLONG VILLAGE,HAMMANSKRAAL,",P.O.BOX 951,HAMMANSKRAAL,0400,"P.O.BOX 951,HAMMANSKRAAL,0400",0127198898,0825526287,URBAN,YES,ACD,1,N,NOT APPLICABLE,NOT APPLICABLE,,YES,905,FALSE,TRUE,NEWLY CREATED SCHOOL BASED ON 2007 DEMARCATION,TO BE UPDATED,NW,GT,600100158,700910158,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NEWLY CREATED SCHOOL BASED ON 2007 DEMARCATION,NW100158,1,TO BE UPDATED,TO BE UPDATED,815,25,840,25,774,23,837,26,835,27,866,31,,,,TRUE,1,,1
440304208,440304208,4,FS,NAVALSIG CS/S,NAVALSIG CS/S,NAVALSIG CS/S,NAVALSIG CS/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),123220,180020,4216,3171052,NAVALSIG HS,26.23351,-29.10775,FREE STATE,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702021,21,40502038,NAVAL HILL,NOT APPLICABLE,MOTHEO,14,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,PJ,CHITTILAPILLY,38,ANDRIES PRETORIUS,STREET,38 ANDRIES PRETORIUS STREET,,NAVAL HILL,BLOEMFONTEIN,9300,"38 ANDRIES PRETORIUS STREET,NAVAL HILL,BLOEMFONTEIN,9300",PRIVATE BAG X20551,BLOEMFONTEIN,9300,"PRIVATE BAG X20551,BLOEMFONTEIN,9300",051-447 1351,0834069706,Urban,Yes,ABCDE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,TRUE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,440304208,440304208,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS40304208,0,TO BE UPDATED,TO BE UPDATED,1409,54,1424,50,1411,53,1488,51,1387,51,1222,53,,,,TRUE,60,50,110
445101231,445101231,4,FS,SEKGUTLONG S/S,SEKGUTLONG S/S,SEKGUTLONG S/S,SEKGUTLONG S/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),124209,914037,4459,3193026,SEKGUTLONG,28.739022,-28.567739,FSED 2007,333,WITSIESHOEK,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904011,11,41509004,MONONTSHA,NOT APPLICABLE,THABO MOFUTSANYANA,16,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,PI,KUMALO,,MONONTSHA,VILLAGE,MONONTSHA VILLAGE,,,WITSIESHOEK,9870,"MONONTSHA VILLAGE,WITSIESHOEK,9870",PRIVATE BAG X821,WITSIESHOEK,9870,"PRIVATE BAG X821,WITSIESHOEK,9870",058-721 0077,0836530776,Urban,Yes,ABCDE,1,Y,MALUTI-A-PHOFUNG,RURAL,,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,445101231,445101231,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS45101231,0,TO BE UPDATED,TO BE UPDATED,616,25,717,20,644,26,609,26,629,24,583,27,,,,TRUE,,1,1
445101243,445101243,4,FS,LIBE P/S,LIBE P/S,LIBE P/S,LIBE P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),120516,914009,6888,99,TO BE UPDATED,28.76819,-28.567572,FSED 2007,333,WITSIESHOEK,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904009,9,41509006,POELONG,NOT APPLICABLE,THABO MOFUTSANYANA,25,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,PF,TLADI,,TSEKI,VILLAGE,TSEKI VILLAGE,,POELONG,PHUTHADITJHABA,9874,"TSEKI VILLAGE,POELONG,PHUTHADITJHABA,9874",PRIVATE BAG X331,POELONG,9874,"PRIVATE BAG X331,POELONG,9874",058-713 6696,0825613171,Urban,Yes,ABCDE,1,Y,MALUTI-A-PHOFUNG,RURAL,,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,445101243,445101243,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS45101243,0,TO BE UPDATED,TO BE UPDATED,401,15,375,16,354,18,355,15,399,13,362,14,,,,TRUE,6,3,9
440304210,440304210,4,FS,EUNICE S/S,EUNICE S/S,EUNICE S/S,EUNICE S/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),123206,193204,4310,3171017,TO BE UPDATED,26.196145,-29.116709,FSED 2007,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702023,23,40502043,PARK WEST,NOT APPLICABLE,MOTHEO,17,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,PEA,CASSAR,,JOCK MEIRING,STREET,JOCK MEIRING STREET,,PARK WEST,BLOEMFONTEIN,9300,"JOCK MEIRING STREET,PARK WEST,BLOEMFONTEIN,9300",P.O.BOX 298,BLOEMFONTEIN,9300,"P.O.BOX 298,BLOEMFONTEIN,9300",051-444 1765,0826516396,Urban,Yes,ABCDE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,TRUE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,440304210,440304210,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS40304210,0,TO BE UPDATED,TO BE UPDATED,840,32,850,36,842,41,858,41,857,42,880,44,,,,TRUE,227,,227
901530037,901530037,9,LP,HOERSKOOL BEN VORSTER,HOERSKOOL BEN VORSTER,HOERSKOOL BEN VORSTER,HOERSKOOL BEN VORSTER,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SPECIAL NEEDS EDUCATION SCHOOL,SECONDARY SCHOOL,COMPREHENSIVE,TO BE UPDATED,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),800007,414035,TO BE UPDATED,7454101,HOERSKOOL BEN VORSTE,30.152,-23.83582,NEIMS 2007,104,LETABA,DC33,MOPANI DISTRICT MUNICIPALITY,LIM333,GREATER TZANEEN LOCAL MUNICIPALITY,93303015,15,90306002,LETABA NU,NOT APPLICABLE,MOPANI,TZANEEN,02-Jan-00,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,PE,SWART,1,BOUNDARY,STREET,1 BOUNDARY STREET,,PREMIER PARK,TZANEEN,0850,"1 BOUNDARY STREET,PREMIER PARK,TZANEEN,0850",P.O.BOX 412,TZANEEN,0850,"P.O.BOX 412,TZANEEN,0850",0153074490,0832528523,RURAL,YES,TO BE UPDATED,,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,,99,FALSE,FALSE,NOT MOVED,TO BE UPDATED,LP,LP,901530037,901530037,TO BE UPDATED,TO BE UPDATED,02-Jan-00,NOT MOVED,LP901530037,0,TO BE UPDATED,TO BE UPDATED,924,41,928,42,961,48,986,45,957,45,971,43,,,,TRUE,102,111,213
700340455,340455,7,GT,BONEHA PRIMARY SCHOOL,BONEHA PRIMARY SCHOOL,BONEHA PRIMARY SCHOOL,BONEHA PRIMARY SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),907011,907011,TO BE UPDATED,99,NOT APPLICABLE,28.3283683328,-26.5522683335,GDE2010,276,HEIDELBERG(TVL),DC42,SEDIBENG DISTRICT MUNICIPALITY,GT423,LESEDI LOCAL MUNICIPALITY,74203009,9,70606000,NONE,NOT APPLICABLE,SEDIBENG EAST,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,PC,STRUWIG,2253,TSELE,STREET,2253 TSELE STREET,,RATANDA,HEIDELBERG,1438,"2253 TSELE STREET,RATANDA,HEIDELBERG,1438",P.O.BOX 417,HEIDELBERG,1438,"P.O.BOX 417,HEIDELBERG,1438",0163437108,0825569066,URBAN,YES,ACD,4,N,NOT APPLICABLE,NOT APPLICABLE,,NO,905,FALSE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700340455,700340455,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,GP340455,0,TO BE UPDATED,TO BE UPDATED,900,26,759,22,844,24,807,25,836,24,890,21,,,,TRUE,10,7,17
108008338,108008338,1,WC,BRIDGES ACADEMY,BRIDGES,TO BE UPDATED,TO BE UPDATED,OPEN,OPEN,INDEPENDENT,ORDINARY SCHOOL,ORDINARY SCHOOL,SPECIAL NEEDS EDUCATION SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,1317776,TO BE UPDATED,19.037026,-33.863332,WCED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,STELLENBOSCH LOCAL MUNICIPALITY,10204002,2,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,CAPE WINELANDS,01,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,PB,PEDERSEN,,KLEIN LUSTHOF,FARM,KLEIN LUSTHOF FARM,,,WEMMERSHOEK  7690,,"KLEIN LUSTHOF FARM,WEMMERSHOEK  7690,",P.O.BOX 288,FRANSCHOEK,7690,"P.O.BOX 288,FRANSCHOEK,7690",0218670099,0722075087,RURAL,TO BE UPDATED,TO BE UPDATED,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,TO BE UPDATED,02-Jan-00,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,,,,25,6,50,7,45,6,52,5,,,,TRUE,13,12,25
440506317,440506317,4,FS,BOTHAVILLE S/S,BOTHAVILLE S/S,BOTHAVILLE S/S,BOTHAVILLE S/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),125204,194204,3457,3181003,TO BE UPDATED,26.606637,-27.385278,FSED 2007,263,BOTHAVILLE,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS185,NALA LOCAL MUNICIPALITY,41805012,12,41101001,MEYERHOF,NOT APPLICABLE,LEJWELEPUTSWA,11,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,PAL,WESSELS,,SYMOND,STREET,SYMOND STREET,,MEYERHOF,BOTHAVILLE,9660,"SYMOND STREET,MEYERHOF,BOTHAVILLE,9660",P.O.BOX 31,BOTHAVILLE,9660,"P.O.BOX 31,BOTHAVILLE,9660",056-515 2700,0834095303,Urban,Yes,ABCDE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,440506317,440506317,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS40506317,0,TO BE UPDATED,TO BE UPDATED,369,16,338,16,313,17,299,18,317,18,322,19,,,,TRUE,53,44,97
700231324,231324,7,GT,PRETORIA HIGH SCHOOL FOR GIRLS,PRETORIA HIGH SCHOOL FOR GIRLS,PRETORIA HIGH SCHOOL FOR GIRLS,PRETORIA HIGH SCHOOL FOR GIRLS,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SPECIAL NEEDS EDUCATION SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),904191,904191,TO BE UPDATED,8231324,PRETORIA HIGH SCHOOL FOR GIRLS,28.22786,-25.7503683336,GDE2010,204,PRETORIA,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79600056,56,77612101,PRETORIA UNIVERSITY & SCHOOLS,NOT APPLICABLE,TSHWANE SOUTH,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,PA,MCNAIR,949,PARK,STREET,949 PARK STREET,,ARCADIA,PRETORIA,0001,"949 PARK STREET,ARCADIA,PRETORIA,0001",PRIVATE BAG X841,PRETORIA,0001,"PRIVATE BAG X841,PRETORIA,0001",0124307341,0825534381,URBAN,YES,ACD,,N,NOT APPLICABLE,NOT APPLICABLE,,,453,TRUE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700231324,700231324,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,GP231324,0,TO BE UPDATED,TO BE UPDATED,1473,85,1474,81,1469,89,1478,83,1474,84,1486,88,,,,TRUE,140,,140
442304131,442304131,4,FS,LERETHLABETSE P/S,LERETHLABETSE P/S,LERETHLABETSE P/S,LERETHLABETSE P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),123531,820826,5166,99,TO BE UPDATED,25.001047,-29.390483,FSED 2007,310,KOFFIEFONTEIN,DC16,XHARIEP DISTRICT MUNICIPALITY,FS161,LETSEMENG LOCAL MUNICIPALITY,41601004,4,40104000,DITLHAKE SP,NOT APPLICABLE,XHARIEP,14,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,P.S.,NTOYI,831,LEFAFA,STREET,831 LEFAFA STREET,,,KOFFIEFONTEIN,9986,"831 LEFAFA STREET,KOFFIEFONTEIN,9986",P.O.BOX 13,KOFFIEFONTEIN,9986,"P.O.BOX 13,KOFFIEFONTEIN,9986",053-205 0173,0721388209,Urban,No,NONE,2,N,NOT APPLICABLE,NOT APPLICABLE,,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,442304131,442304131,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS42304131,0,TO BE UPDATED,TO BE UPDATED,580,18,563,19,528,16,532,19,569,19,522,18,,,,TRUE,,1,1
440808227,440808227,4,FS,IKGWANTLELLE P/S,IKGWANTLELLE P/S,IKGWANTLELLE P/S,IKGWANTLELLE P/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),127506,821592,6593,99,TO BE UPDATED,26.140938,-28.301386,FSED 2007,312,BULTFONTEIN,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS183,TSWELOPELE LOCAL MUNICIPALITY,41803002,2,40903001,PHAHAMENG,NOT APPLICABLE,LEJWELEPUTSWA,17,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,P.S,MAOBA,1152,CULLWICK SEWTSHO,STREET,1152 CULLWICK SEWTSHO STREET,,PHAHAMENG,BULTFONTEIN,9670,"1152 CULLWICK SEWTSHO STREET,PHAHAMENG,BULTFONTEIN,9670",P.O.BOX 534,BULTFONTEIN,9670,"P.O.BOX 534,BULTFONTEIN,9670",051-853 2238,0721870869,Urban,Yes,ABCDE,1,N,NOT APPLICABLE,NOT APPLICABLE,,YES,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,440808227,440808227,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS40808227,0,TO BE UPDATED,TO BE UPDATED,1183,35,1211,35,1187,36,1212,34,1187,34,1270,38,,,,TRUE,1,1,2
441407328,441407328,4,FS,MJ MOHLAHLI S/S,MJ MOHLAHLI S/S,MJ MOHLAHLI S/S,MJ MOHLAHLI S/S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,ORDINARY SCHOOL,SECONDARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),126236,990008,2260,3191022,MJ MOHLAHLI COMM-TEC,27.886653,-28.880379,FREE STATE,340,FICKSBURG,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS194,MALUTI A PHOFUNG LOCAL MUNICIPALITY,41904003,3,41202000,FICKSBURG SP,NOT APPLICABLE,THABO MOFUTSANYANA,35,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,P.P.,MOFOKENG,,CORNER KORT AND IMPERANI,STREET,CORNER KORT AND IMPERANI STREET,,,FICKSBURG,,"CORNER KORT AND IMPERANI STREET,FICKSBURG,",P.O.BOX 1150,FICKSBURG,9730,"P.O.BOX 1150,FICKSBURG,9730",051-9335379,0767176970,Urban,No,NONE,2,Y,MALUTI-A-PHOFUNG,RURAL,,YES,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,FS,FS,441407328,441407328,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS41407328,0,TO BE UPDATED,TO BE UPDATED,734,26,743,32,,26,688,28,713,26,753,28,,,,TRUE,11,12,23
500292744,292744,5,KZ,VRYHEID H,VRYHEID,VRYHEID H,VRYHEID H,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SPECIAL NEEDS EDUCATION SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,KWAZULU NATAL EDUCATION DEPARTMENT,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,5112155,VRYHEID H,30.783917,-27.769117,NEIMS 2007,127,VRYHEID,DC26,ZULULAND DISTRICT MUNICIPALITY,KZN263,ABAQULUSI LOCAL MUNICIPALITY,52603008,8,52913000,NONE,ZULULAND,VRYHEID,BHEKUZULU,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,P.P,NOOME,,CORNER REPUBLIC AND CHURCH,STREET,CORNER REPUBLIC AND CHURCH STREET,,VRYHEID EAST,VRYHEID,3100,"CORNER REPUBLIC AND CHURCH STREET,VRYHEID EAST,VRYHEID,3100",PRIVATE BAG X9329,VRYHEID,3100,"PRIVATE BAG X9329,VRYHEID,3100",0349822239,0842096237,RURAL,NO,NONE,,Y,ZULULAND,RURAL,02-Jan-00,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,KZ,KZ,500292744,500292744,TO BE UPDATED,TO BE UPDATED,02-Jan-00,NOT MOVED,KZ292744,0,TO BE UPDATED,TO BE UPDATED,834,38,845,34,850,37,839,38,846,41,850,39,,,,TRUE,35,24,59
500125023,125023,5,KZ,DUNVERIA S,DUNVERIA,DUNVERIA S,DUNVERIA S,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SPECIAL NEEDS EDUCATION SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),TO BE UPDATED,TO BE UPDA,TO BE UPDATED,5311209,DUNVERIA S,30.419133,-29.556233,NEIMS 2007,226,PIETERMARITZBURG,DC22,UMGUNGUNDLOVU DISTRICT MUNICIPALITY,KZN225,THE MSUNDUZI LOCAL MUNICIPALITY,52205030,30,51109043,RAISETHORPE,UMGUNGUNDLOVU,UMGUNGUNDLOVU,MIDLANDS,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,P.M,GOVENDER,50,RUPAR,CRESCENT,50 RUPAR CRESCENT,,RAISETHORPE,PIETERMARITZBURG,3207,"50 RUPAR CRESCENT,RAISETHORPE,PIETERMARITZBURG,3207",P.O.BOX 520,LUMXI,3207,"P.O.BOX 520,LUMXI,3207",0333914919,0842567805,URBAN,NO,NONE,,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,KZ,KZ,500125023,500125023,TO BE UPDATED,TO BE UPDATED,02-Jan-00,NOT MOVED,KZ125023,0,TO BE UPDATED,TO BE UPDATED,489,20,524,19,535,17,618,19,638,22,680,20,,,,TRUE,6,1,7
600102031,102031,6,NW,STELLA   HIGH  SCHOOL,STELLA,STELLA HIGH SCHOOL,STELLA HIGH SCHOOL,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,COMBINED SCHOOL,COMBINED SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),97103,97103,TO BE UPDATED,9333180,STELLA HIGH SCHOOL,24.87355,-26.55447,NEIMS 2007,4,VRYBURG 1,DC39,BOPHIRIMA DISTRICT MUNICIPALITY,NW392,NALEDI LOCAL MUNICIPALITY,63902001,99,61203000,NONE,DR RUTH SEGOMOTSI MOMPATI,TALEDI,VRYBURG CLUSTER,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,P.M,FOURIE,01,N MAFIKENG,ROAD,01 N MAFIKENG ROAD,,,STELLA,8650,"01 N MAFIKENG ROUD,STELLA,8650",P.O.BOX 2,STELLA,8650,"P.O.BOX 2,STELLA,8650",0539830021,,TO BE UPDATED,YES,TO BE UPDATED,,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,,0,FALSE,TRUE,NOT MOVED,TO BE UPDATED,NW,NW,600102031,600102031,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,NW102031,0,TO BE UPDATED,TO BE UPDATED,305,19,305,18,287,19,274,19,287,19,270,20,,,,TRUE,62,60,122
600101681,101681,6,NW,PRES. MANGOPE TECHNICAL AND COMM. HIGH,S. MANGOPE,PRESIDENT MANGOPE TECHNICAL & COMMERCIAL SECONDARY,PRESIDENT MANGOPE TECHNICAL & COMMERCIAL SECONDARY,OPEN,OPEN,PUBLIC,ORDINARY SCHOOL,TO BE UPDATED,SPECIAL NEEDS EDUCATION SCHOOL,SECONDARY SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,BOPHUTATSWANA(BOP),960701,960701,TO BE UPDATED,9152129,PRES MANGOPE TECH HIGH SCHOOL,27.20716,-25.63126,NEIMS 2007,202,BAFOKENG,DC37,BOJANALA DISTRICT MUNICIPALITY,NW373,RUSTENBURG LOCAL MUNICIPALITY,63703012,12,60301017,LEFARAGATLHA,BOJANALA,RUSTENBURG,BONESANG,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,P.K,RAMETSI,3505,MOKALE,STREET,3505 MOKALE STREET,,,TLHABANE,0309,"3505 MOKALE STREET,TLHABANE,0309",PRIVATE BAG X2204,TLHABANE,0309,"PRIVATE BAG X2204,TLHABANE,0309",0145655305,0145653286,TO BE UPDATED,YES,TO BE UPDATED,,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,,0,TRUE,TRUE,NOT MOVED,TO BE UPDATED,NW,NW,600101681,600101681,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,NW101681,0,TO BE UPDATED,TO BE UPDATED,1531,52,1458,44,1300,51,1338,55,1289,59,1355,58,,,,TRUE,122,94,216
