NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,PED_Institution,PED_Name,DoE_Status,PED_Status,Sector,Type_DoE,Type_DoE_2,Phase_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO
700888046,888046,7,GT,ARE-ITIRELENG COMMUNITY PRE-SCHOOL AND CRECHE,ARE-ITIRELENG COMMUNITY PRE-SCHOOL AND CRECHE,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TSHWANE NORTH,NOT APPLICABLE,,,,,,,THE,MANAGER,354,,BLOCK,354  BLOCK,MANDELA,,HAMMAANSKRAAL,,"354  BLOCK,MANDELA,HAMMAANSKRAAL,",,,,,0127113093,0834757701,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,58,,,,,,,FALSE,0,,,
800035521,,8,MP,VALENCIA ISLAMIC PRE-PRIMARY SCHOOL,VALENCIA ISLAMIC,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,,,,,,,THE,MANAGER,,,,,,,,,,,,,,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,34,,,,,,,FALSE,,,,
700888044,888044,7,GT,LEHLABILE EARLY LEARNING CENTRE,LEHLABILE EARLY LEARNING CENTRE,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TSHWANE NORTH,NOT APPLICABLE,,,,,,,THE,MANAGER,966,H,BLOCK,966 H BLOCK,SOSHANGUVE,,,,"966 H BLOCK,SOSHANGUVE,0183",,,,,,0833929598,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,35,,,,,,,FALSE,0,,,
700888047,888047,7,GT,BOSELE EDUCARE AND PRE SCHOOL,BOSELE EDUCARE AND PRE SCHOOL,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG WEST,NOT APPLICABLE,,,,,,,THE,MANAGER,362,TSHEPESOWETO,STREET,362 TSHEPESOWETO STREET,,,JOHANNESBURG,,"362 TSHEPESOWETO STREET,JOHANNESBURG,",,,,,0119393876,0835625919,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,32,,,,,,,FALSE,0,,,
700303743,303743,7,GT,BUMPIES  NURSERY AND PRE -SCHOOL,BUMPIES  NURSERY AND PRE -SCHOOL,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TSHWANE SOUTH,NOT APPLICABLE,,,,,,,THE,MANAGER,60,ARENDKWAGASRAND,,60 ARENDKWAGASRAND ,TSHWANE,,,,"60 ARENDKWAGASRAND ,TSHWANE,",,,,,0123860981,0284880636,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,134,,,,,,,FALSE,0,,,
700230907,230907,7,GT,INKULULEKO DAY CARE CENTRE,INKULULEKO DAY CARE CENTRE,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TSHWANE SOUTH,NOT APPLICABLE,,,,,,,THE,MANAGER,2,KOCKSALVOKOP,ROAD,2 KOCKSALVOKOP ROAD,PRTEORIA,,,,"2 KOCKSALVOKOP ,PRTEORIA,",,,,,0123211099,0784947019,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,21,,,,,,,FALSE,0,,,
700228281,228281,7,GT,OLIEVENHOUT BOSCHRR SCHOOL AND CRECH,OLIEVENHOUT BOSCHRR SCHOOL AND CRECH,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TSHWANE SOUTH,NOT APPLICABLE,,,,,,,THE,MANAGER,1973,METHO AND UMTHATICENTURION,STREET,1973 METHO AND UMTHATICENTURION STREET,TSHWANE,,,1973,"1973 CNRMETHOANDUMTHATICENTURION STREET,TSHWANE,1973",,,,,,0722250547,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,37,,,,,,,FALSE,0,,,
700225852,225852,7,GT,HAPPY CHAPPIES,HAPPY CHAPPIES,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG NORTH,NOT APPLICABLE,,,,,,,THE,MANAGER,239,CORNELIS,STREET,239 CORNELIS STREET,,,JOHANNESBURG,,"239 CORNELIS STREET,JOHANNESBURG,239",,,,,0114780682,0823366950,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,10,,,,,,,FALSE,0,,,
700219391,219391,7,GT,FLUTTERBIES NURSERY SCHOOL,FLUTTERBIES NURSERY SCHOOL,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG NORTH,NOT APPLICABLE,,,,,,,THE,MANAGER,17,TRAUPANT,CLOSE,17 TRAUPANT CLOSE,,RANDPARK RIDGE,RANDBURG,,"17 TRAUPANT CLOSE,RANDPARK RIDGE,RANDBURG,",,,,,0117934118,,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,1,,,,,,,FALSE,0,,,
700213921,213921,7,GT,FUN FACTORY EDUCARE,FUN FACTORY EDUCARE,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG NORTH,NOT APPLICABLE,,,,,,,THE,MANAGER,1,MINERVAAVE,AVENUE,1 MINERVAAVE AVENUE,RANDBURG,,,,"1 MINERVAAVE AVENUE,RANDBURG,",,,,,0116782167,0828554146,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,13,,,,,,,FALSE,0,,,
700162108,162108,7,GT,THEMBELIHLE DAY CARE CENTRE,THEMBELIHLE DAY CARE CENTRE,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,EKURHULENI SOUTH,NOT APPLICABLE,,,,,,,THE,MANAGER,36,BUYAFUTHIINFORMALSETTLEMENT,STREET,36 BUYAFUTHIINFORMALSETTLEMENT STREET,,,GERMISTON,,"36 BUYAFUTHIINFORMALSETTLEMENT STREET,GERMISTON,",,,,,,0828429871,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,35,,,,,,,FALSE,0,,,
700154211,154211,7,GT,BOSMONT NURSERY SCHOOL,BOSMONT NURSERY SCHOOL,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG NORTH,NOT APPLICABLE,,,,,,,THE,MANAGER,1,MUIZENBERG,STREET,1 MUIZENBERG STREET,BOSMONT,,JOHANNESBURG,,"1 MUIZENBERG STREET,BOSMONT,JOHANNESBURG,",,,,,0114748249,0733485682,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,15,,,,,,,FALSE,0,,,
700121021,121021,7,GT,ARTHUR CAMPBELL (ACE) EDU CARE,ARTHUR CAMPBELL (ACE) EDU CARE,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG SOUTH,NOT APPLICABLE,,,,,,,THE,MANAGER,28,CAVENDISHNANCEFIELD,ROAD,28 CAVENDISHNANCEFIELD ROAD,CAVENDISH,,,,"28 CAVENDISHNANCEFIELD ROAD,CAVENDISH,",,,,,0113426178,0843194489,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,29,,,,,,,FALSE,0,,,
700888076,888076,7,GT,PROGRESS PLAY GROUP AND PRESCHOOL,PROGRESS PLAY GROUP AND PRESCHOOL,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,EKURHULENI SOUTH,NOT APPLICABLE,,,,,,,THE,MANAGER,8809,THOBISIKATLEHONG,STREET,8809 THOBISIKATLEHONG STREET,KATLEHONG,,JOHANNESBURG,8809,"8809 THOBISIKATLEHONG STREET,KATLEHONG,JOHANNESBURG,8809",,,,,,0738551924,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,25,,,,,,,FALSE,0,,,
700888045,888045,7,GT,LEBATLHABETSE EARLY LEARNING CENTRE,LEBATLHABETSE EARLY LEARNING CENTRE,,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TSHWANE NORTH,NOT APPLICABLE,,,,,,,THE,MANAGER,565,F,BLOCK,565 F BLOCK,PRETORIA,,HAMMANSKRAAL,,"565 F BLOCK,PRETORIA,HAMMANSKRAAL,",,,,,,0734129975,URBAN,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,60,,,,,,,FALSE,0,,,
974401203,974401203,9,LP,VUMBANI EARLYCHILDHOOD DEVELOPMENT CENTER,VUMBANI EARLYCHILDHOOD DEVELOPMENT CENTER,VUMBANI EARLYCHILDHOOD DEVELOPMENT CENTER,VUMBANI EARLYCHILDHOOD DEVELOPMENT CENTER,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ECD,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,GREATER GIYANI,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,DZINGI- DZINGI,,DZINGI- DZINGI,VILLAGE,,GIYANE,0822,"DZINGI- DZINGI,VILLAGE,GIYANE,0822",P.O.BOX 3727,GIYANI,0826,"P.O.BOX 3727,GIYANI,0826",,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,,,,,,,,FALSE,,,,
700890030,890030,7,GT,VICTORIA PRE SCHOOL,VICTORIA PRE SCHOOL,VICTORIA PRE SCHOOL,VICTORIA PRE SCHOOL,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,TO BE UPDA,TO BE UPDATED,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400060,60,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,JOHANNESBURG EAST,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,181,JEPPE,STREET,181 JEPPE STREET,,,JOHANNESBURG,2091,"181 JEPPE STREET,JOHANNESBURG,2091",P.O.BOX 6818,JEPPE,2000,"P.O.BOX 6818,JEPPE,2000",0113333445,0114338143,URBAN,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700890030,700890030,TO BE UPDATED,TO BE UPDATED,02-Jan-00,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,30,,,,,,,FALSE,,,,
700351239,351239,7,GT,WILSON LEBONE PRE-PRIMARY,WILSON LEBONE PRE-PRIMARY,WILSON LEBONE PRE-PRIMARY,WILSON LEBONE PRE-PRIMARY,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PRIVATE,PRIVATE,DEPARTMENT OF EDUCATION AND TRAINING(DET),TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,GDE2010,89,KOSTER,DC40,SOUTHERN DISTRICT MUNICIPALITY,NW401,VENTERSDORP LOCAL MUNICIPALITY,TO BE UPDATED,99,61703002,VENTERSDORP NU,NOT APPLICABLE,GAUTENG EAST,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,18047,MOSHOESHOE,STREET,18047 MOSHOESHOE STREET,,KWA THEMA,SPRINGS,1563,"18047 MOSHOESHOE STREET,KWA THEMA,SPRINGS,1563",P.O.BOX 149,KWATHEMA,1563,"P.O.BOX 149,KWATHEMA,1563",0117366106,,URBAN,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,GT,GT,700351239,700351239,YES,DECEMBER 2007 SUBMISSION,01-Dec-07,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,64,,,,,,,FALSE,,,,
976605303,,9,LP,KGOPUTSO PRE SCHOOL,KGOPUTSO,,,OPEN,TO BE UPDATED,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GREATER SEKHUKHUNE,LEPELLE,,,,,,,THE,MANAGER,,MAKHUTSO,,MAKHUTSO,,,MARBLE HALL,454,"MAKHUTSO ,MARBLE HALL,0454",,,,,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,,,,,,,TO BE UPDATED,,,,,,,TO BE UPDATED,,,,,,,,,,,,,,,,,,,FALSE,0,,,
445503332,445503332,4,FS,WILLOWS PP/S,WILLOWS PP/S,WILLOWS PP/S,WILLOWS PP/S,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,200360,TO BE UPDATED,99,NOT APPLICABLE,26.19862,-29.13683,FSED 2007,308,BLOEMFONTEIN,DC17,MOTHEO DISTRICT MUNICIPALITY,FS172,MANGAUNG LOCAL MUNICIPALITY,41702024,24,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,MOTHEO,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,THE,MANAGER,,CORNER LISTER AND HIPPOCRATES LN,STREET,CORNER LISTER AND HIPPOCRATES LN STREET,,HOSPITAALPARK,BLOEMFONTEIN,9317,"CORNER LISTER AND HIPPOCRATES LN STREET,HOSPITAALPARK,BLOEMFONTEIN,9317",,,,,,,Urban,NOT APPLICABLE,NOT APPLICABLE,,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,NOT MOVED,TO BE UPDATED,FS,FS,445503332,445503332,YES,TO BE UPDATED,04-Mar-08,NOT MOVED,FS45503332,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,50,,,,,,,FALSE,,,,
