NatEmis,EmisNo,ProvinceCD,Province,Institution_Name,Name,Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuildings,ExDept,PaypointNo,ComponentNo,ResponsibilityCode,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal Code,StreetAddress,Box_P_Bag,Post Office,Box_Bag Postal_Code,PostalAddress,Telephone,Facsimile,cellno,Urban_Rural,Section21,Section21_Funct,Quintile,NAS,NodalArea,NAT,RegistrationDate,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
103484644,0103484644,1,WC,ALPHA SKOOL,ALPHA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,AUTISTIC SPECTRUM DISORDERS,PUBLIC,PUBLIC,TO BE UPDATED,484644,947,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.45076525,-33.93539787,WCED,65,SIMONSTAD,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100057,57,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO CENTRAL,CIRCUIT4,N,KEARNS,84,PALMERSTON,ROAD,84 PALMERSTON  ROAD,,WOODSTOCK,CAPE TOWN,,"84 PALMERSTON ROAD,WOODSTOCK,CAPE TOWN,",POSBUS 48,WOODSTOCK,"POSBUS 48,WOODSTOCK,7925","POSBUS 48,WOODSTOCK,7925",0214471213,0214480405,0835193953,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,72,47,,,,FALSE,,,
107315600,0107315600,1,WC,ALTA DU TOIT SKOOL,ALTA DU TOIT,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,TO BE UPDATED,TO BE UPDATED,315600,5976,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.69771932,-33.92758596,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100011,11,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT1,M.J.,DU TOIT,,PIET FRANSMAN,STREET,PIET FRANSMAN  STREET,,,KUILSRIVIER,,"PIET FRANSMAN STREET,KUILSRIVIER,",PRIVAATSAK X10,KUILSRIVIER,"PRIVAATSAK X10,KUILSRIVIER,7580","PRIVAATSAK X10,KUILSRIVIER,7580",0219034178,0219036021,0836712195,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,345,148,,,,FALSE,,,
500101232,101232,5,KZ,AM MOOLLA SPES NOVA  FOR CP CHILDREN,AM MOOLLA ES NOVA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,99,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,30.99131,-29.69208,NEIMS 2007,33,INANDA,ETH,ETHEKWINI METROPOLITAN MUNICIPALITY,ETH,ETHEKWINI METROPOLITAN MUNICIPALITY,59200052,52,61402006,LOWER MAJEAKGORO,ETHEKWINI,PINETOWN,PHOENIX,MR. A,APPANNA,313,LENHAM,DRIVE,313 LENHAM DRIVE,,PHOENIX,DURBAN,4300,"313 LENHAM DRIVE,PHOENIX,DURBAN,4300",PRIVATE BAG X09,MOUNT EDGECOMBE,"PRIVATE BAG X09,MOUNT EDGECOMBE,4300","PRIVATE BAG X09,MOUNT EDGECOMBE,4300",0315003801,0315003805,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,337,93,,,,FALSE,,,
444712104,44712104,4,FS,AMARI-SKOOL SPEC,AMARI,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),131225,162500,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,26.752964,-27.95208,FSED 2007,314,WELKOM,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS184,MATJHABENG LOCAL MUNICIPALITY,41804034,34,41022002,DAGBREEK,NOT APPLICABLE,LEJWELEPUTSWA,CIRCUIT9,EP,SCOTT,,ARRARAT,ROAD,ARRARAT  ROAD,,,WELKOM,9460,"ARRARAT ROAD,WELKOM,9460",PRIVATE BAG X67,WELKOM,"PRIVATE BAG X67,WELKOM,9460","PRIVATE BAG X67,WELKOM,9460",0573528463,0573532526,0844583009,URBAN,YES,ABCDE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,223,21,239,25,207,,203,125,,,,FALSE,,,
200101020,101020,2,EC,AMASANGO CAREER SCHOOL,AMASANGO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SPECIAL NEEDS EDUCATION,PUBLIC,TO BE UPDATED,TO BE UPDATED,054102,054102,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,27.73701,-33.00726,ECED2007,47,OOS-LONDEN/EAST LONDON,DC12,AMATOLE DISTRICT MUNICIPALITY,EC125,BUFFALO CITY LOCAL MUNICIPALITY,21205031,31,21410001,EAST LONDON NU,NOT APPLICABLE,EAST LONDON,CIRCUIT1,R.B,XUZA,,OLD MT COKE,ROAD,OLD MT COKE ROAD,DEERFIELD FARM,DEERFIELD FARM,EAST LONDON,5200,"OLD MT COKE ROAD,DEERFIELD FARM,DEERFIELD FARM,EAST LONDON,5200",POST OFFICE 5200,EASTLONDON,"POST OFFICE 5200,EASTLONDON,5200","POST OFFICE 5200,EASTLONDON,5200",0437369205,0437369205,0839653708,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-96,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,140,69,,,,FALSE,,,
993304404,993304404,9,LP,ANKURA ACADEMY,ANKURA,OPEN,INDEPENDENT,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,THE,MANAGER,,,,,,,TO BE UPDATED,,,,,,,,,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,,6,,,,FALSE,,,
200201026,201026,2,EC,ARCADIA SCHOOL,ARCADIA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,REMEDIAL,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),054105,054105,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,27.89586,-33.00424,ECED2007,47,OOS-LONDEN/EAST LONDON,DC12,AMATOLE DISTRICT MUNICIPALITY,EC125,BUFFALO CITY LOCAL MUNICIPALITY,21205003,3,21414000,NONE,NOT APPLICABLE,EAST LONDON,CIRCUIT3,D.L,BANDS,,KIMBERLEY,ROAD,KIMBERLEY  ROAD,,,EAST LONDON,5219,"KIMBERLEY ROAD,EAST LONDON,5219",PRIVATE BAG X9049,GIYANI,"PRIVATE BAG X9049,GIYANI,5200","PRIVATE BAG X9049,GIYANI,5200",0437435503,0437433149,,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01-Jan-19,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,197,114,,,,FALSE,,,
500103563,103563,5,KZ,ARTHUR BLAXALL,ARTHUR BLAXALL,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,VISUAL IMPAIRMENT,PUBLIC,PUBLIC,TO BE UPDATED,99,TO BE UPDA,TO BE UPDATED,5311326,5311302,ARTHUR BLAXALL SCHOOL,30.40466,-29.58596,NEIMS 2007,226,PIETERMARITZBURG,DC22,UMGUNGUNDLOVU DISTRICT MUNICIPALITY,KZN225,THE MSUNDUZI LOCAL MUNICIPALITY,52205035,35,TO BE UPDATED,TO BE UPDATED,UMGUNGUNDLOVU,UMGUNGUNDLOVU,PIETERMARITZBURG,MR. D. C,FRANK,87,ROYSTON,ROAD,87 ROYSTON ROAD,,MOUNTAIN RISE,PIETERMARITZBURG,3201,"87 ROYSTON ROAD,MOUNTAIN RISE,PIETERMARITZBURG,3201",P.O.BOX 8132,CUMBERWOOD,"P.O.BOX 8132,CUMBERWOOD,3201","P.O.BOX 8132,CUMBERWOOD,3201",0333871400,0333872211,0825701573,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,210,105,,,,FALSE,,,
996606800,996606800,9,LP,ASIPHUMELELE,ASIPHUMELELE,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,SPECIAL NEEDS EDUCATION,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GREATER SEKHUKHUNE,GROBLERSDAL,THE,MANAGER,,,,,,,,1047,,"PO BOX 671, SEHLAKWANE",,1047,"PO BOX 671, SEHLAKWANE, 1047",,,0737243316,TO BE UPDATED,NO,TO BE UPDATED,TO BE UPDATED,N,TO BE UPDATED,TO BE UPDATED,02-Jan-00,NO,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,,1,,,,FALSE,,,
102484679,0102484679,1,WC,ASTRA SKOOL,ASTRA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,484679,945,TO BE UPDATED,2246,,ASTRA SKOOL,18.57540088,-33.96305896,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100031,31,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT6,MNR. M,COOK,,PALOTTI,ROAD,PALOTTI  ROAD,,MONTANA,BELLVILLE,,"PALOTTI ROAD,MONTANA,BELLVILLE,",POSBUS 21106,DURRHEIM,"POSBUS 21106,DURRHEIM,7490","POSBUS 21106,DURRHEIM,7490",0219340155,0219340183,0835992523,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,286,144,,,,FALSE,,,
101324612,0101324612,1,WC,ATHLONE SKOOL VIR BLINDES,ATHLONE  SCHOOL FOR THE BLIND,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION SCHOOL,VISUAL IMPAIRMENT,PUBLIC,PUBLIC,TO BE UPDATED,324612,924,TO BE UPDATED,2201,1342201,ATHLONE SKOOL VIR BLINDES,18.65246278,-33.91456472,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100009,9,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT1,F.H,FISHER,,ATHLONE,STREET,ATHLONE  STREET,,BELLVILLE SOUTH,BELLVILLE,,"ATHLONE STREET,BELLVILLE SOUTH,BELLVILLE,",PRIVAATSAK X1,KASSELSVLEI,"PRIVAATSAK X1,KASSELSVLEI,7533","PRIVAATSAK X1,KASSELSVLEI,7533",0219512234,0219515118,0822953415,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,397,235,,,,FALSE,,,
