NatEmis,EmisNo,ProvinceCD,Province,Institution_Name,Name,Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuildings,ExDept,PaypointNo,ComponentNo,ResponsibilityCode,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal Code,StreetAddress,Box_P_Bag,Post Office,Box_Bag Postal_Code,PostalAddress,Telephone,Facsimile,cellno,Email,Urban_Rural,Section21,Section21_Funct,Quintile,NAS,NodalArea,NAT,RegistrationDate,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
500122581,122581,5,KZ,DOMINO SERVITE COMBINED PRIVATE,DOMINO SERVITE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,TO BE UPDATED,TO BE UPDATED,DEPARTMENT OF EDUCATION AND TRAINING(DET),99,TO BE UPDA,TO BE UPDATED,5212230,,DOMINO SERVITE HIGH SCHOOL,30.96177,-29.08017,GEOCODE 2010 GOOGLE EARTH,223,KRANSKOP,DC24,UMZINYATHI DISTRICT MUNICIPALITY,KZN245,UMVOTI LOCAL MUNICIPALITY,52405010,10,52312001,KRANSKOP NU,UKHAHLAMBA,UMZINYATHI,UMVOTI,THE,MANAGER,,JAMERDAL,FARM,JAMERDAL  FARM,,,UMVOTI,3268,"JAMERDAL FARM,UMVOTI,3268",P.O.BOX 49405,KRANSKOP,"P.O.BOX 49405,KRANSKOP,3268","P.O.BOX 49405,KRANSKOP,3268",03248145509,0324815335,0834498469,,RURAL,NO,NONE,TO BE UPDATED,Y,UMZINYATHI,RURAL,02-Jan-00,NO,0,FALSE,FALSE,TO BE UPDATED,271,33,259,30,272,31,272,36,269,34,,,,TRUE,58,41,99
500123358,123358,5,KZ,DRAKENSBERG BOYS' CHOIR,DRAKENSBERG,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,TO BE UPDATED,TO BE UPDATED,KWAZULU NATAL EDUCATION DEPARTMENT,99,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,29.4366,-29.02178,GEOCODE 2010 GOOGLE EARTH,289,ESTCOURT,DC23,UTHUKELA DISTRICT MUNICIPALITY,KZN235,OKHAHLAMBA LOCAL MUNICIPALITY,52305001,99,51710003,ESTCOURT NU,UKHAHLAMBA,OTHUKELA,BERGVILLE,THE,MANAGER,,CHAMPAGNE VALLEY,,CHAMPAGNE VALLEY,,,CATHKIN PARK,3340,"CHAMPAGNE VALLEY ,CATHKIN PARK,3340",PRIVATE BAG X20,WINTERTON,"PRIVATE BAG X20,WINTERTON,3340","PRIVATE BAG X20,WINTERTON,3340",0364681012,0364681709,0836270185,,RURAL,NO,NONE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,0,FALSE,FALSE,TO BE UPDATED,109,13,109,12,90,8,93,12,105,14,,,,TRUE,,92,92
500146853,146853,5,KZ,GAMALAKHE COMMERCIAL H,GAMALAKHE,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,PUBLIC,PUBLIC,KWAZULU NATAL EDUCATION DEPARTMENT,99,TO BE UPDA,TO BE UPDATED,5312249,5312208,GAMALAKHE COMMERCIAL H,30.340333,-30.80445,NEIMS 2007,37,PORT SHEPSTONE,DC21,UGU DISTRICT MUNICIPALITY,KZN216,HIBISCUS COAST LOCAL MUNICIPALITY,52106026,26,50603000,NONE,UMGUNGUNDLOVU,PORT SHEPSTONE,SAYIDI,M.P,BOHIELA,15,15 GAMALAKHE,LOCATION,15 15 GAMALAKHE  LOCATION,,GAMALAKHE,PORT SHEPSTONE,4265,"15 15 GAMALAKHE LOCATION,GAMALAKHE,PORT SHEPSTONE,4265",PRIVATE BAG X1002,STMICHAELSONSEA,"PRIVATE BAG X1002,STMICHAELSONSEA,4265","PRIVATE BAG X1002,STMICHAELSONSEA,4265",0393181532,0393182599,0836944459,,URBAN,NO,NONE,4,Y,UGU,RURAL,02-Jan-00,NO,0,TRUE,FALSE,TO BE UPDATED,930,28,926,26,927,30,917,31,916,29,,,,TRUE,526,394,920
500325822,325822,5,KZ,EKUPHIWENI JS,EKUPHIWENI,OPEN,PUBLIC,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY,PUBLIC,PUBLIC,KWAZULU NATAL EDUCATION DEPARTMENT,99,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,30.83975,-28.56699,NEIMS 2007,222,NKANDLA,DC28,UTHUNGULU DISTRICT MUNICIPALITY,KZN286,NKANDLA LOCAL MUNICIPALITY,52806002,2,54204002,EKUPHIWENI,ZULULAND,EMPANGENI,NKANDLA,S.M,KHATHINI,,MCHUNU,TRIBAL AUTHORITY,MCHUNU  TRIBAL AUTHORITY,,EKUPHIWENI AREA,NKANDLA,3855,"MCHUNU TRIBAL AUTHORITY,EKUPHIWENI AREA,NKANDLA,3855",PRIVATE BAG X4802,NKANDLA,"PRIVATE BAG X4802,NKANDLA,3855","PRIVATE BAG X4802,NKANDLA,3855",0762301079,,0762301079,,RURAL,NO,NONE,1,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,YES,807,FALSE,TRUE,TO BE UPDATED,91,3,90,3,90,4,100,4,118,4,,,,TRUE,51,46,97
500342472,342472,5,KZ,SOUTH COAST ACADEMY,SOUTH COAST,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,99,TO BE UPDA,TO BE UPDATED,5312174,5312254,SOUTH COAST ACADEMY,30.353105,-30.879571,GEOCODE 2010 GOOGLE EARTH,TO BE UPDA,TO BE UPDATED,DC21,UGU DISTRICT MUNICIPALITY,KZN215,EZINGOLENI LOCAL MUNICIPALITY,52106002,2,TO BE UPDATED,TO BE UPDATED,UMGUNGUNDLOVU,PORT SHEPSTONE,SAYIDI,THE,MANAGER,,IZOTSHA,,IZOTSHA,,,RAMSGATE,4285,"IZOTSHA ,RAMSGATE,4285",P.O.BOX 371,RAMSGATE,"P.O.BOX 371,RAMSGATE,4285","P.O.BOX 371,RAMSGATE,4285",0393120162,0393174255,0824632930,,TO BE UPDATED,NO,NONE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,0,FALSE,FALSE,TO BE UPDATED,327,15,347,17,462,25,461,28,445,25,,,,TRUE,37,54,91
600100472,100472,6,NW,GRENVILLE HIGH,GRENVILLE,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,COMPREHENSIVE,PUBLIC,PUBLIC,BOPHUTATSWANA(BOP),84305,84305,TO BE UPDATED,2027,9152027,GRENVILLE HIGH SCHOOL,27.24085,-25.66128,NEIMS 2007,201,RUSTENBURG,DC37,BOJANALA DISTRICT MUNICIPALITY,NW373,RUSTENBURG LOCAL MUNICIPALITY,63703013,13,60315019,RUSTENBURG CENTRAL,BOJANALA,RUSTENBURG,BOKAMOSO,A,TAUTE,98,98 KLOPPER,STREET,98 98 KLOPPER  STREET,,,RUSTENBURG,0300,"98 98 KLOPPER STREET,RUSTENBURG,0300",PRIVATE BAG X82071,RUSTENBURG,"PRIVATE BAG X82071,RUSTENBURG,0300","PRIVATE BAG X82071,RUSTENBURG,0300",0145920344,0145925791,,,TO BE UPDATED,NO,NONE,3,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,0,TRUE,TRUE,TO BE UPDATED,810,39,785,35,855,38,857,32,896,43,,,,TRUE,71,21,92
700231977,231977,7,GT,MERIDIAN COLLEGE,MERIDIAN,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION AND TRAINING(DET),99,TO BE UPDA,TO BE UPDATED,231977,8231977,MERIDIAN COLLEGE,28.2764547512,-25.7112479563,GDE2010,204,PRETORIA,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,TSH,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79600003,3,77612097,PRETORIA CBD,NOT APPLICABLE,TSHWANE SOUTH,TO BE UPDATED,DP,PRINSLOO,1,CNR. KOEDOESPOORT AND STORMVOEL,ROAD,1 CNR. KOEDOESPOORT AND STORMVOEL  ROAD,,KOEDOESPOORT,EASTLYNN,,"1 CNR. KOEDOESPOORT AND STORMVOEL ROAD,KOEDOESPOORT,EASTLYNN,",P.O.BOX  15475,GIYANI,"P.O.BOX  15475,GIYANI,0039","P.O.BOX  15475,GIYANI,0039",0128004070,0128003824,0732459555,adminpta@education.co.za,URBAN,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,NO,0,FALSE,FALSE,TO BE UPDATED,239,13,219,11,190,2,210,12,236,11,,,,TRUE,30,60,90
700400194,400194,7,GT,AURORA PRIMARY INDEPENDENT SCHOOL,AURORA,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,28.39543,-26.00935,GDE2010,TO BE UPDA,TO BE UPDATED,EKU,EKHURULENI METROPOLITAN MUNICIPALITY,EKU,EKURHULENI METROPOLITAN MUNICIPALITY,79300018,18,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,GAUTENG EAST,TO BE UPDATED,V,WALKER,32,32 CILVALE,STREET,32 32 CILVALE  STREET,,BAPSFONTEIN,BENONI,,"32 32 CILVALE STREET,BAPSFONTEIN,BENONI,",P.O.BOX  8812,GIYANI,"P.O.BOX  8812,GIYANI,1613","P.O.BOX  8812,GIYANI,1613",0824268527,0116091242,0824268527,admin@auroraprimaryschool.com,URBAN,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,07-Jul-07,NO,0,FALSE,FALSE,TO BE UPDATED,101,6,,,126,6,165,7,176,5,,,,TRUE,41,54,95
800005876,800005876,8,MP,HOËRSKOOL MIDDELBURG,MIDDELBURG,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,PUBLIC,PUBLIC,TRANSVAAL EDUCATION DEPARTMENT(TED),302123,302123,800005876,6610029,6304702,HOERSKOOL MIDDELBURG,29.45617,-25.76867,TO BE UPDATED,121,MIDDELBURG,DC31,NKANGALA DISTRICT MUNICIPALITY,MP313,STEVE TSHWETE LOCAL MUNICIPALITY,83103014,14,81007012,MIDDELBURG (NU),NKANGALA,NOT APPLICABLE,MIDDELBURG1,THE,MR JH STRONKHORST,1,O.R. TAMBO,STREET,1 O.R. TAMBO  STREET,,MIDDELBURG,,1050,"1 O.R. TAMBO STREET,MIDDELBURG,1050",PRIVATE BAG X251811,MIDDELBURG,"PRIVATE BAG X251811,MIDDELBURG,1050","PRIVATE BAG X251811,MIDDELBURG,1050",0132827393,0132824402,0832347715,middies@ananzi.com,TO BE UPDATED,YES,ABCDE,5,N,NOT APPLICABLE,NOT APPLICABLE,14-Jul-92,NO,0,FALSE,FALSE,TO BE UPDATED,1036,49,1020,51,1027,50,962,50,950,54,,,,TRUE,46,53,99
800005918,800005918,8,MP,HOËRSKOOL PIET RETIEF,PIET RETIEF,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,PUBLIC,PUBLIC,TRANSVAAL EDUCATION DEPARTMENT(TED),200533,200533,800005918,6602021,6121008,HOERSKOOL PIET RETIEF,30.80783,-26.99233,GEOCODE 2010 GOOGLE EARTH,22,PIET RETIEF,DC30,GERT SIBANDE DISTRICT MUNICIPALITY,MP303,MKHONDO LOCAL MUNICIPALITY,83003007,7,80307002,PIET RETIEF (NU),GERT SIBANDE,NOT APPLICABLE,PIETRETIEF,THE,MR SE BOUWER,,MAC STR 1,,MAC STR 1,,PIET RETIEF,,2380,"MAC STR 1 ,PIET RETIEF,2380",PRIVAATSAK X 7,GIYANI,"PRIVAATSAK X 7,GIYANI,2380","PRIVAATSAK X 7,GIYANI,2380",0178260534,0178264210,0828041845,,TO BE UPDATED,YES,ABCDE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,14-Jul-92,NO,0,FALSE,FALSE,TO BE UPDATED,634,31,665,29,662,30,690,33,695,33,,,,TRUE,55,40,95
800030593,800030593,8,MP,METROPOLITAN COLLEGE,METROPOLITAN,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,99,TO BE UPDA,800030593,6604071,6242390,METROLOPLITAN COLLEGE,,,TO BE UPDATED,TO BE UPDA,NEBO,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP322,MBOMBELA LOCAL MUNICIPALITY,83205025,25,TO BE UPDATED,TO BE UPDATED,EHLANZENI,NOT APPLICABLE,WHITERIVER,C,KOUATCHO,2,HENNIE VAN TILST,STREET,2 HENNIE VAN TILST  STREET,,WHITE RIVER,,1240,"2 HENNIE VAN TILST STREET,WHITE RIVER,1240",P.O.BOX  2598,GIYANI,"P.O.BOX  2598,GIYANI,1240","P.O.BOX  2598,GIYANI,1240",0137502255,0137500105,0731293576,metrocollege@wol.co.za,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,06-Dec-01,NO,0,FALSE,FALSE,TO BE UPDATED,,,,,425,28,492,31,644,42,,,,TRUE,62,34,96
