NatEmis,EmisNo,ProvinceCD,Province,Institution_Name,Name,Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuildings,ExDept,PaypointNo,ComponentNo,ResponsibilityCode,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal Code,StreetAddress,Box_P_Bag,Post Office,Box_Bag Postal_Code,PostalAddress,Telephone,Facsimile,cellno,Urban_Rural,Section21,Section21_Funct,Quintile,NAS,NodalArea,NAT,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,Snap_Learners_2011,Educator_Numbers_2011,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
500101232,101232,5,KZ,AM MOOLLA SPES NOVA  FOR CP CHILDREN,AM MOOLLA ES NOVA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,99,TO BE UPDA,99,NOT APPLICABLE,,NOT APPLICABLE,30.99131,-29.69208,NEIMS 2007,33,INANDA,ETH,ETHEKWINI METROPOLITAN MUNICIPALITY,ETH,ETHEKWINI METROPOLITAN MUNICIPALITY,59200052,52,61402006,LOWER MAJEAKGORO,ETHEKWINI,PINETOWN,PHOENIX,MR. A,APPANNA,313,LENHAM,DRIVE,313 LENHAM DRIVE,,PHOENIX,DURBAN,4300,"313 LENHAM DRIVE,,PHOENIX,DURBAN,4300",PRIVATE BAG X09,MOUNT EDGECOMBE,4300,"PRIVATE BAG X09,MOUNT EDGECOMBE,4300",0315003801,0315003805,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,337,,,,,FALSE,,,
444712104,44712104,4,FS,AMARI-SKOOL SPEC,AMARI,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),131225,162500,99,NOT APPLICABLE,,NOT APPLICABLE,26.752964,-27.95208,FSED 2007,314,WELKOM,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS184,MATJHABENG LOCAL MUNICIPALITY,41804034,34,41022002,DAGBREEK,NOT APPLICABLE,LEJWELEPUTSWA,CIRCUIT9,THE,SCOTT,,ARRARAT,ROAD,ARRARAT ROAD,,DAGBREEK,WELKOM,,"ARRARAT ROAD,,DAGBREEK,WELKOM,",PRIVATE BAG X67,WELKOM,9460,"PRIVATE BAG X67,WELKOM,9460",0573528423,0573532526,TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,FALSE,FALSE,TO BE UPDATED,,,223,21,239,25,207,,203,24,,,,FALSE,,,
200101020,101020,2,EC,AMASANGO CAREER SCHOOL,AMASANGO,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,SPECIAL NEEDS EDUCATION,PUBLIC,TO BE UPDATED,TO BE UPDATED,054102,054102,99,NOT APPLICABLE,,NOT APPLICABLE,27.73701,-33.00726,ECED2007,47,OOS-LONDEN/EAST LONDON,DC12,AMATOLE DISTRICT MUNICIPALITY,EC125,BUFFALO CITY LOCAL MUNICIPALITY,21205031,31,21410001,EAST LONDON NU,NOT APPLICABLE,EAST LONDON,CIRCUIT1,R.B,XUZA,,OLD MT COKE,ROAD,OLD MT COKE ROAD,,DEERFIELD FARM,EAST LONDON,5200,"OLD MT COKE ROAD,,DEERFIELD FARM,EAST LONDON,5200",POST OFFICE 5200,EASTLONDON,5200,"POST OFFICE 5200,EASTLONDON,5200",0437369205,0437369205,0839653708,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,140,15,,,,FALSE,,,
200201026,201026,2,EC,ARCADIA SCHOOL,ARCADIA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,REMEDIAL,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),054105,054105,99,NOT APPLICABLE,,NOT APPLICABLE,27.89586,-33.00424,ECED2007,47,OOS-LONDEN/EAST LONDON,DC12,AMATOLE DISTRICT MUNICIPALITY,EC125,BUFFALO CITY LOCAL MUNICIPALITY,21205003,3,21414000,NONE,NOT APPLICABLE,EAST LONDON,CIRCUIT3,D.L,BANDS,,KIMBERLEY,ROAD,KIMBERLEY ROAD,,,EAST LONDON,,"KIMBERLEY ROAD,,,EAST LONDON,",PRIVATE BAG X90,EASTLONDON,5200,"PRIVATE BAG X90,EASTLONDON,5200",0437435503,0437433149,TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,197,26,,,,FALSE,,,
500103563,103563,5,KZ,ARTHUR BLAXALL,ARTHUR BLAXALL,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,VISUAL IMPAIRMENT,PUBLIC,PUBLIC,TO BE UPDATED,99,TO BE UPDA,99,5311326,5311302,ARTHUR BLAXALL SCHOOL,30.40466,-29.58596,NEIMS 2007,226,PIETERMARITZBURG,DC22,UMGUNGUNDLOVU DISTRICT MUNICIPALITY,KZN225,THE MSUNDUZI LOCAL MUNICIPALITY,52205035,35,TO BE UPDA,TO BE UPDATED,UMGUNGUNDLOVU,UMGUNGUNDLOVU,PIETERMARITZBURG,MR. D. C,FRANK,87,ROYSTON,ROAD,87 ROYSTON ROAD,,MOUNTAIN RISE,PIETERMARITZBURG,3201,"87 ROYSTON ROAD,,MOUNTAIN RISE,PIETERMARITZBURG,3201",P.O.BOX 8132,CUMBERWOOD,3201,"P.O.BOX 8132,CUMBERWOOD,3201",0333871400,0333872211,0825701573,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,210,25,,,,FALSE,,,
102484679,0102484679,1,WC,ASTRA SKOOL,ASTRA,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,PHYSICAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,484679,945,99,2246,,ASTRA SKOOL,18.57540088,-33.96305896,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100031,31,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT6,MNR. M,COOK,,PALOTTI,ROAD,PALOTTI ROAD,,MONTANA,CAPE TOWN,,"PALOTTI ROAD,,MONTANA ,CAPE TOWN,",P.O.BOX 21106,DURRHEIM,7490,"P.O.BOX 21106,DURRHEIM,7490",0219340155,0219340183,0835992523,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,286,27,,,,FALSE,,,
101324612,0101324612,1,WC,ATHLONE SKOOL VIR BLINDES,ATHLONE  SCHOOL FOR THE BLIND,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,VISUAL IMPAIRMENT,PUBLIC,PUBLIC,TO BE UPDATED,324612,924,99,2201,1342201,ATHLONE SKOOL VIR BLINDES,18.65304666,-33.91785443,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100009,9,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,CIRCUIT1,F.H,FISHER,,ATHLONE,STREET,ATHLONE STREET,BELLVILLESOUTH,BEROMA GLENHAVEN,BELLVILLE SOUTH,7533,"ATHLONE STREET,BELLVILLESOUTH,BEROMA GLENHAVEN,BELLVILLE SOUTH,7533",PRIVATE BAG  X1,KASSELSVLEI,7533,"PRIVATE BAG  X1,KASSELSVLEI,7533",0219512234,0219515118,0822953415,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,397,55,,,,FALSE,,,
103447897,103447897,1,WC,ATLANTIS SCHOOL OF SKILLS,ATLANTIS,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,MILD AND MODERATELY HANDICAPPED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,9999,TO BE UPDA,TO BE UPD,TO BE UPDATED,,TO BE UPDATED,18.56865,-33.87948,GEOCODE 2010 GOOGLE EARTH,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100001,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METRO NORTH,TO BE UPDATED,THE,MANAGER,,GOUDA,STREET,GOUDA STREET,,WESFLEUR,ATLANTIS,7349,"GOUDA STREET,,WESFLEUR,ATLANTIS,7349",PRIVATE BAG X1,DASSENBERG,7349,"PRIVATE BAG X1,DASSENBERG,7349",0215725022,0215721538,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,,,,,,FALSE,,,
132447897,0132447897,1,WC,ATLANTIS VAARDIGHEIDSKOOL,ATLANTIS VAARDIGHEID,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,SPECIAL NEEDS EDUCATION,PUBLIC,PUBLIC,TO BE UPDATED,447897,40287,99,NOT APPLICABLE,,NOT APPLICABLE,18.48233597,-33.56519038,WCED,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100029,29,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,CIRCUIT2,ME. J,ERASMUS,,GOUDA WESFLEUR,STREET,GOUDA WESFLEUR STREET,,WYNBERG,ATLANTIS,7350,"GOUDA WESFLEUR STREET,,WYNBERG,ATLANTIS,7350",PRIVATE BAG X1,DASSENBERG,7350,"PRIVATE BAG X1,DASSENBERG,7350",0215725022,0215721538,0767508227,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,233,16,,,,FALSE,,,
923242552,923242552,9,LP,BANA-BATHARI SCHOOL,BANA-BATHARI,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,INTELLECTUAL DISABILITY,PUBLIC,PUBLIC,TO BE UPDATED,890011,TO BE UPDA,99,NOT APPLICABLE,,NOT APPLICABLE,29.6867,-23.76857,NEIMS 2007,211,THABAMOOPO,DC35,CAPRICORN DISTRICT MUNICIPALITY,LIM354,POLOKWANE LOCAL MUNICIPALITY,93504032,32,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,CAPRICORN,DIMAMO,M .A,DIKOTLA,,SOLOMONDALE,,SOLOMONDALE,,MANKWENA CIRCUIT,REGION 2,,"SOLOMONDALE ,,MANKWENA CIRCUIT,REGION 2,",P.O.BOX 638,SOVENGA,0727,"P.O.BOX 638,SOVENGA,0727",0152636120,0152636120,0839576063,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,FALSE,FALSE,TO BE UPDATED,,,,,,,,,233,21,,,,FALSE,,,
700131912,131912,7,GT,BARAGWANATH HOSPITAL SCHOOL,BARAGWANATH,OPEN,PUBLIC,SPECIAL NEEDS EDUCATION CENTRE,NOT APPLICABLE,PHYSICAL DISABILITY,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),911002,TO BE UPDA,99,NOT APPLICABLE,,NOT APPLICABLE,27.943031667,-26.2620633339,GDE2009,322,SOWETO,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,JHB,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79400024,24,77404007,DIEPKLOOF ZONE 6,NOT APPLICABLE,JOHANNESBURG CENTRAL,NOTAPPLICABLE,MS. V. E,SERIPE,48-50,NEXT TO,WARD,48-50 NEXT TO WARD,DIEPKLOOF,SOWETO,JOHANNESBURG,,"48-50 NEXT TO WARD,DIEPKLOOF,SOWETO,JOHANNESBURG,",POST OFFICE 2013,BERTSHAM,2013,"POST OFFICE 2013,BERTSHAM,2013",0119338248,0119333610,TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,FALSE,FALSE,TO BE UPDATED,,,,,,,,,124,12,,,,FALSE,,,
