NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExamNo,New_ExamsNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Dinaledi_Schools,Quids_Up_School,NEIMSEMISN,DEM_CHKS,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS
101008261,0101008261,1,WC,ABRA KEDABRA CRECHE,ABRA KEDABRA,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.669433,-33.88304,TELKOM 2009,178,BELLVILLE,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100003,3,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE NORTH,CIRCUIT1,MS. C,OOSTHUIZEN,56,MALIBU,STREET,56 MALIBU STREET,,OAK GLEN,BELLVILLE,7550,"56 MALIBU STREET,OAK GLEN,BELLVILLE,7550",POST OFFICE 7550,"OAK GLEN,BELLVILLE",7550,"POST OFFICE 7550,OAK GLEN,BELLVILLE,7550",0219196516,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,24,3,48,10,146,8,FALSE,,,
200800875,800875,2,EC,ABRAHAM PRE-PRIMARY,ABRAHAM,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,27.59704,-31.75786,NEIMS 2007,239,COFIMVABA/ST. MARKS,DC13,CHRIS HANI DISTRICT MUNICIPALITY,EC135,INTSIKA YETHU LOCAL MUNICIPALITY,21305022,22,22217011,KWAGCINA,NOT APPLICABLE,COFIMVABA,ILISO,W. M,MEMANI,,,,,,,COFIMVABA,5380,"COFIMVABA,5380",P.O.BOX 91,AMATOLE BASIN,5380,"P.O.BOX 91,AMATOLE BASIN,5380",0731425953,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01-Jan-92,0,FALSE,FALSE,EC800875,0,TO BE UPDATED,,,,40,46,1,39,1,FALSE,,,
106003374,0106003374,1,WC,ABUNDANT LIVING PREPRIM.,ABUNDANT LIVING,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.624795,-34.038235,WCED,TO BE UPDA,NEBO,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100078,78,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE SOUTH,CIRCUIT4,L,VAN DER ZANDT,,CORNER HENGELAAR CRICKET,STREET, CORNER HENGELAAR CRICKET STREET,,BEACONVALLEY,MITCHELLS PLAIN,7785," CORNER HENGELAAR CRICKET STREET,BEACONVALLEY,MITCHELLS PLAIN,7785",P.O.BOX 19524,"LENTEGEUR,MITCHELLS PLAIN",7785,"P.O.BOX 19524,LENTEGEUR,MITCHELLS PLAIN,7785",0213767901,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,13,3,FALSE,,,
445202984,45202984,4,FS,ACADEMY SCHOOL AND DEVELOPMENT,ACADEMY,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,LEJWELEPUTSWA,40,THE,MANAGER,,,,,,,,,,P.O.BOX 111,RIEBEECKSTAD,9469,"P.O.BOX 111,RIEBEECKSTAD,9469",0573881917,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
440304801,40304801,4,FS,ACCELERATED CHRISTIAN COLLEGE PP/S,ACCELERATED,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC17,MOTHEO DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,MOTHEO,40,THE,MANAGER,,,,,,,,,,P.O.BOX 25947,"LANGENHOVENPARK,BLOEMFONTEIN",9330,"P.O.BOX 25947,LANGENHOVENPARK,BLOEMFONTEIN,9330",TO BE UPDATED,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
800028662,800028662,8,MP,ACME PRE-PRIMARY SCHOOL,ACME,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,359,THABA 'NCHU,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP321,THABA CHWEU LOCAL MUNICIPALITY,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,EHLANZENI,NOT APPLICABLE,SABIE,R.M,CHABELENG,,,,,,,,,,P.O.BOX 346,SABIE,1260,"P.O.BOX 346,SABIE,1260",0137649051,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,08-Jan-97,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,40,18,,,,FALSE,,,
700150045,150045,7,GT,ACORN NURSERY SCHOOL,ACORN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,INDEPENDENT,NOT APPLICABLE,,NOT APPLICABLE,28.08426,-26.075654,TELKOM 2009,201,RUSTENBURG,DC37,BOJANALA DISTRICT MUNICIPALITY,NW373,RUSTENBURG LOCAL MUNICIPALITY,79400109,109,60319023,RUSTENBURG NU,NOT APPLICABLE,TO BE UPDATED,NOTAPPLICABLE,OLIVIER,OLIVIER,14,DAHLIA,STREET,14 DAHLIA STREET,,GALLO MANOR,SANDTON,2052,"14 DAHLIA STREET,GALLO MANOR,SANDTON,2052",P.O.BOX 1653,GALLOMANOR,2052,"P.O.BOX 1653,GALLOMANOR,2052",0118023103,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,,,,,,,FALSE,,,
207007593,0207007593,1,WC,ACVV DELFT CRECHE,ACVV DELFT,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,,N/A,18.648332,-33.976005,WCED,07,BELLVILLE,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100020,20,TO BE UPDATED,UNKNOWN,NOT APPLICABLE,METROPOLE NORTH,TO BE UPDATED,M,DU PREEZ,,,,,,DELFT,KUILSRIVIER,99,"DELFT,KUILSRIVIER,99",POST OFFICE 7802,WESTRIDGE,7802,"POST OFFICE 7802,WESTRIDGE,7802",0219541155,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,0,FALSE,FALSE,,,TO BE UPDATED,,,,,,,,,FALSE,0,0,0
107007593,0207007593,1,WC,ACVV DELFT CRECHE,ACVV DELFT,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,18.6482,-33.97595,GEOCODED,177,KUILSRIVIER,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100020,20,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,METROPOLE NORTH,CIRCUIT5,MEV. M,DU PREEZ,2,ALPHA,STREET,2 ALPHA STREET,,,DELFT,7802,"2 ALPHA STREET,DELFT,7802",P.O.BOX 730,WESTRIDGE,7802,"P.O.BOX 730,WESTRIDGE,7802",0219541155,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,,,72,6,,,,,FALSE,,,
118108354,0118108354,1,WC,ACVV DIE VINKNES PRE-PRIMERE SKOOL,ACVV DIE VINKNES,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,,N/A,,,WCED,99,GEORGE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDATED,UNKNOWN,NOT APPLICABLE,EDEN AND CENTRAL KAROO,TO BE UPDATED,THE,MANAGER,,HV CRADOCK EN MARBERIUS,STREET, HV CRADOCK EN MARBERIUS STREET,,,UNKNOWN,99," HV CRADOCK EN MARBERIUS STREET,UNKNOWN,99",TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,"TO BE UPDATED,TO BE UPDATED,TO BE UPDATED",0448733064,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,0,FALSE,FALSE,,,TO BE UPDATED,,,,,,,,,FALSE,,,
300072060,72060,3,NC,ACVV LOLLAPOT,ACVV LOLLAPOT,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,99,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC7,PIXLEY KA SEME DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,PIXLEY KA SEME,NOTAPPLICABLE,THE,TO BE UPDATED,10,SCHREINER,STREET,10 SCHREINER STREET,,,,,"10 SCHREINER STREET,,",P.O.BOX 58,DE AAR,7000,"P.O.BOX 58,DE AAR,7000",0536312423,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,40,2,,46,,,,,FALSE,,,
300071018,71018,3,NC,ACVV PRE-PRIMÊRE SKOOL,ACVV,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,INDEPENDENT,TO BE UPDATED,NOT APPLICABLE,,NOT APPLICABLE,24.76081,-28.74443,NEIMS 2007,190,KIMBERLEY,DC9,FRANCES BAARD DISTRICT MUNICIPALITY,NC091,SOL PLAATJIE LOCAL MUNICIPALITY,30901020,20,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,FRANCES BAARD,NOTAPPLICABLE,ME.V. C,OOSTHUIZEN,,HOLLAND,ROAD, HOLLAND ROAD,,CENTRE,KIMBERLEY,8300," HOLLAND ROAD,,CENTRE,KIMBERLEY,8300",P.O.BOX 922,KIMBERLEY,8301,"P.O.BOX 922,KIMBERLEY,8301",0538324863,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,02-Jan-00,0,FALSE,FALSE,NC71018,0,TO BE UPDATED,210,13,,,,,,,FALSE,,,
200801547,801547,2,EC,ADALIZWA DCC,ADALIZWA,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,NOT APPLICABLE,,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,0,TO BE UPDA,TO BE UPDATED,NOT APPLICABLE,FORT BEAUFORT,TO BE UPDATED,THE,MANAGER,,,,,,,,,,P.O.BOX 12,DEBENEK,5604,"P.O.BOX 12,DEBENEK,5604",TO BE UPDATED,TO BE UPDA,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,01-Mar-07,0,FALSE,FALSE,TO BE UPDATED,0,TO BE UPDATED,51,,,40,40,,40,,FALSE,,,
