NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,LURITS_Status,Sector,Type_DoE,Phase_DoE,TYPE_LURITS,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,Latitude,Longitude,GISSource2,DRD_Code,DRD_DistanceMoved_Metres,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,CloseDate1,CloseReason1,CloseDate2,CloseReason2,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,MLComment1,MLComment2,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,Verification_Date,DEM_Comment,NEIMSEMISN,DEM_CHKS,DEMCOM,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,Snap_Learners_2013,Educator_Numbers_2013,GradeR_Lrns_2013,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO,Status_2007,Status_2008,Status_2009,Status_2010,Status_2011,Status_2012,Status_2013
100000290,0100000290,1,WC,FLOWER VALLEY EARLY LEARNING CENTRE,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,NEW EDUCATION DEPARTMENT,,,,,N/A,,,,,,15,HERMANUS,,OVERBERG,,OVERSTRAND,,,,,NOT APPLICABLE,OVERBERG,CIRCUIT 2,,,,,,,B,DAMON,,,,11 GROOTBOS ROAD,,GAANSBAAI,GAANSBAAI,,,P.O.BOX 393,GANSBAAI,7220,TO BE UPDATED,0283880713,0837036164,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000295,0100000295,1,WC,NOORUL ISLAAM PRE PRIM (OUDTSHOORN),,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,N/A,,,,,,24,OUDTSHOORN,,EDEN,,OUDTSHOORN,,,,,NOT APPLICABLE,EDEN AND CENTRAL KAROO,CIRCUIT 6,,,,,,,N.R.,CAMPHER,,,,4 CHURCH STREET,,OUDSHOORN,OUDSHOORN,,,P.O.BOX 870,OUDTSHOORN,6620,TO BE UPDATED,0442722094,0736580032,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000296,0100000296,1,WC,SIYAZAMA EDUCARE CENTRE (HOUT BAY),,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,N/A,,,,,,05,WYNBERG,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO CENTRAL,CIRCUIT 2,,,,,,,F.J.,CELE,,,,MOSES KONTANE STREET,,HOUT BAY,HOUT BAY,,,MOSES KONTANE STREET,IMIZAMOYETHU,7806,TO BE UPDATED,0217906666,0735483737,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000297,0100000297,1,WC,THE ANGEL STARFISH EDUCARE CENTRE,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,N/A,,,,,,05,WYNBERG,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO CENTRAL,CIRCUIT 2,,,,,,,F,MOSES,,,,PENZANCE AVENUE,,HOUT BAY,HOUT BAY,,,PENZANCE AVENUE,HOUT BAY,7875,TO BE UPDATED,0217907450,,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000298,0100000298,1,WC,KIDS COVE GORDON'S BAY,,OPEN,TO BE UPDATED,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,N/A,,,,,,11,STRAND,,CITY OF CAPE TOWN,,CITY OF CAPE TOWN,,,,,NOT APPLICABLE,METRO EAST,CIRCUIT 6,,,,,,,E,WISE,,,,29 DISA ROAD,,GORDON'S BAY,GORDON'S BAY,,,29 DISA ROAD,GORDON'S BAY,7140,TO BE UPDATED,0218560989,0828957326,,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,NOT APPLICABLE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105000856,0105000856,1,WC,THE CHILDREN'S STUDIO.,THE CHILDREN'S STUDIO,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PRIVATE,TO BE UPDATED,TO BE UPDATED,000856,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,-33.988717,18.474376,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100058,58,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO CENTRAL,CIRCUIT 1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,B,SCHNEIDER,2,HEREFORDRD,AVENUE,CNR. 2ND AVENUE & HEREFORD RD.,,CLAREMONT,WYNBERG,7700,"2 HEREFORDRD AVENUE,CLAREMONT,WYNBERG,7700",CNR. 2ND AVENUE & HEREFORD RD.,"HARFIELD VILLAGE,CLAREMONT",7708,"POST OFFICE,HARFIELD VILLAGE,CLAREMONT,7708",0216831437,0833257415,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,105000856,105000856,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,31,,,210,6,,,,,,,,,,,,,,,,,,,OPEN,OPEN,,
105301007,0105301007,1,WC,BAIRNSLEIGH PRE-PRIM.,BAIRNSLEIGH,OPEN,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,301007,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,-33.975925,18.4788,,D,,64,WYNBERG,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,TO BE UPDATED,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100058,58,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO CENTRAL,CIRCUIT 1,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,L.C.,SMIT,13,STLUKES,ROAD,13 ST. LUKE'S ROAD,,NEWLANDS,WYNBERG,7708,"13 STLUKES ROAD,NEWLANDS,WYNBERG,7708",13 ST. LUKE'S ROAD,NEWLANDS,7708,"POST OFFICE,NEWLANDS,7708",0216713390,0729977539,URBAN,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,WC,WC,105301007,105301007,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,13,,6,,,100,8,4,,,,,,,,,,,,,,,,,OPEN,OPEN,OPEN,,
200601028,601028,2,EC,IMETELE EDUCARE CENTRE,IMETELE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,,Y,,TO BE UPDA,TO BE UPDATED,DC13,CHRIS HANI DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,CRADOCK,MIDDELBURG,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 214,MIDDELBURG,5900,"P.O.BOX 214,MIDDELBURG,5900",0498421148,0782397271,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,EC,EC,200601028,200601028,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,98,4,,,,,,,,,,,,,,,,,,,,OPEN,,
200800652,800652,2,EC,MASIZAME DCC,MASIZAME,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,,Y,,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,EAST LONDON,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 51694,"NEWLANDS,EAST LONDON",5219,"P.O.BOX 51694,NEWLANDS,EAST LONDON,5219",,0838622895,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,EC,EC,200800652,200800652,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,30,4,,,,,,,,,,,,,,,,,,,,OPEN,,
200800657,800657,2,EC,MASIBULELE DCC,MASIBULELE,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,,Y,,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,EAST LONDON,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 1552,EAST LONDON,5201,"P.O.BOX 1552,EAST LONDON,5201",,0728793715,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,EC,EC,200800657,200800657,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200800664,800664,2,EC,NYAMEKO DCC,NYAMEKO,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,,Y,,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,EAST LONDON,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,TO BE UPDATED,,,,,,P.O.BOX 944,EAST LONDON,5201,"P.O.BOX 944,EAST LONDON,5201",,0837489037,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,EC,EC,200800664,200800664,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,70,4,,,,,,,,,,,,,,,,,,,,OPEN,,
200800669,800669,2,EC,UNATHI DAY CARE CENTRE,UNATHI,OPEN,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,,Y,,TO BE UPDA,TO BE UPDATED,DC12,AMATOLE DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,C,EAST LONDON,TO BE UPDATED,,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,1,STAND,STREET,1 STAND STREET,,CHALUMNA,KIDDS BEACH,,"1 STAND STREET,CHALUMNA,KIDDS BEACH,",P.O.BOX 14005,WEST BANK,5218,"P.O.BOX 14005,WEST BANK,5218",0437890062,0825919341,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,N,NOT APPLICABLE,NOT APPLICABLE,01/03/2007,NOT APPLICABLE,0,,,NOT MOVED,TO BE UPDATED,EC,EC,200800669,200800669,YES,DECEMBER 2007 SUBMISSION,01/12/2007,NOT MOVED,TO BE UPDATED,0,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
