NatEmis,EmisNo,ProvinceCD,Province,Institution,Name,DoE_Status,Sector,Type_DoE,Phase_DoE,Specialisation,OwnerLand,OwnerBuild,ExDept,PaypointNo,ComponentNo,Responsibility,ExamNo,ExamCentre,GIS_Long,GIS_Lat,GISSource,MagDist_Code,Magisterial_District,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,Ward,SP_Code,SP_Name,EIRegion,EIDistrict,EICircuit,TransDate,TransComm,AddrInit,Addressee,Street_No,Street,StreetType,StreetName,Township_Village,Suburb,Town_City,Postal_Code,StreetAddress,Box_P_Bag,Post_Office,Box_Bag_Postal_Code,PostalAddress,Telephone,cellno,Urban_Rural,Section21,Section21_Function,Quintile,NAS,NodalArea,NAT,Registration_Date,NoFeeSchool,Allocation,Dinaledi_Schools,Quids_Up_School,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Verified_by_PEDs,Verfication_Comment,NEIMSEMISN,GIS_ERROR,Snap_Learners_2007,Educator_Numbers_2007,Snap_Learners_2008,Educator_Numbers_2008,Snap_Learners_2009,Educator_Numbers_2009,Snap_Learners_2010,Educator_Numbers_2010,GradeR_Lrns_2010,Snap_Learners_2011,Educator_Numbers_2011,GradeR_Lrns_2011,Snap_Learners_2012,Educator_Numbers_2012,GradeR_Lrns_2012,MAIN_SATELITE,MAIN_NATEMIS,MAIN_INSTITUTION,BOARDING SCHOOL,FEMALE BOARDERS,MALE BOARDERS,TOTAL BOARDERS,ECD_SOCIALDEVELOPMEN_NO
445503317,445503317,4,FS,AGAPE DAYCARE,AGAPE,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.08374,-28.22142,FSED 2007,364,VENTERSBURG,DC18,LEJWELEPUTSWA DISTRICT MUNICIPALITY,FS184,MATJHABENG LOCAL MUNICIPALITY,41804001,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,LEJWELEPUTSWA,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,THE,MANAGER,11,EAST,STREET,11 EAST STREET,MATJHABENG RURAL,,MATJHABENG,,"11 EAST STREET,MATJHABENG RURAL,MATJHABENG,",P.O.BOX 88054,BRONVILLE,9460,"P.O.BOX 88054,BRONVILLE,9460",,,Urban,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,FS,FS,445503317,445503317,YES,TO BE UPDATED,FS45503317,TO BE UPDATED,,,,,,,,,,171,4,88,,,,,,,FALSE,,,,
107008157,107008157,1,WC,AGAPE KLEUTERSKOOL,AGAPE,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,18.995234,-34.155394,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,OVERBERG,02,,TO BE UPDATED,M,GILL,,,,,,,,,,P.O.BOX  451,GRABOUW,7160,"P.O.BOX  451,GRABOUW,7160",0218591897,0741882213,RURAL,NO,TO BE UPDATED,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,0,FALSE,FALSE,WC,WC,107008157,107008157,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,,,94,,,354,6,118,,,,,,,FALSE,,,,
800034511,800034511,8,MP,AGAPE PRE-SCHOOL,AGAPE,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,800034511,99,NOT APPLICABLE,29.10939,-25.83799,NEIMS 2007,210,WITBANK,DC31,NKANGALA DISTRICT MUNICIPALITY,MP312,EMALAHLENI LOCAL MUNICIPALITY,83102002,2,TO BE UPDATED,TO BE UPDATED,NKANGALA,NOT APPLICABLE,eMALAHLENI 2,,TO BE UPDATED,ZULU,ZULU,,,,,,KWA-GUQA,WITBANK,1039,"KWA-GUQA,WITBANK,1039",P.O.BOX 5146,"EMALAHLENI,WITBANK",1039,"P.O.BOX 5146,EMALAHLENI,WITBANK,1039",0136957020,0847752621,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,Y,BUSHBUCKRIDGE,RURAL,01/01/1900,,0,FALSE,FALSE,MP,MP,800034511,800034511,YES,DECEMBER 2007 SUBMISSION,MP800034511,TO BE UPDATED,,,,,,,,,,140,4,68,,,,,,,FALSE,,,,
139007594,0139007594,1,WC,AGAPF KLEUTERLAND,AGAPF,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PRIVATE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,22.573967,-32.370862,TO BE UPDATED,TO BE UPDA,NEBO,DC5,CENTRAL KAROO DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,EDEN AND CENTRAL KAROO,07,,TO BE UPDATED,JM.,BREDA,3,HEUWEL,STREET,3 HEUWEL STREET,,RUSTDENE,BEAUFORT WEST,6970,"3 HEUWEL STREET,RUSTDENE,BEAUFORT WEST,6970",P.O.BOX 1125,BEAUFORT-WES,6970,"P.O.BOX 1125,BEAUFORT-WES,6970",0234143406,0847036831,RURAL,NO,TO BE UPDATED,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,0,FALSE,FALSE,WC,WC,139007594,139007594,YES,DECEMBER 2007 SUBMISSION,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,94,4,47,,,,,,,FALSE,,,,
300071112,71112,3,NC,AGISANAG COMMUNITY CRECHE,AGISANAG,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC9,FRANCES BAARD DISTRICT MUNICIPALITY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,FRANCES BAARD,NOT APPLICABLE,,TO BE UPDATED,THE,MANAGER,535,GWELE,STREET,535 GWELE STREET,,,,8345,"535 GWELE STREET,8345",POST OFFICE,MANKURWANE,8345,"POST OFFICE,MANKURWANE,8345",,0732285471,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,Y,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,0,FALSE,FALSE,NC,NC,300071112,300071112,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,30,4,10,,,,,,,FALSE,,,,
975503310,975503310,9,LP,AHITIRHENI,AHITIRHENI,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,THE,MANAGER,,,,,,,LETSITELE,0885,"LETSITELE,0885",P.O.BOX 382,LETSITELE,0885,"P.O.BOX 382,LETSITELE,0885",,0834139456,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,,,,,,,,156,6,,,,,,,,FALSE,,,,
800034989,800034989,8,MP,AK MOKOENA PRE-PRIMARY SCHOOL,A .K MOKOENA,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,PUBLIC,PUBLIC,TO BE UPDATED,874125,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,DC32,EHLANZENI DISTRICT MUNICIPALITY,MP325,BUSHBUCKRIDGE LOCAL MUNICIPALITY,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,BOHLABELA,NOT APPLICABLE,LEHUKWE,,TO BE UPDATED,THE,MANAGER,,OAKLEY,,OAKLEY,,,NEXT TO SELE PRIMARY SCHOOL,,"OAKLEY,NEXT TO SELE PRIMARY SCHOOL,",P.O.BOX 727,BUSHBUCKRIDGE,1280,"P.O.BOX 727,BUSHBUCKRIDGE,1280",0828367815,0828367815,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,01/01/1900,,0,FALSE,FALSE,LP,MP,927451516,800034989,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,,,,,,,,,,FALSE,,,,
973306333,,9,LP,AKANANI CRECHE,AKANANI,OPEN,PUBLIC,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,,,,,,,,,,,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,,,,,,,,186,6,,,,,,,,FALSE,,,,
106008224,106008224,1,WC,3 BEARS EDUCARE,3 BEARS,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,PRE-PRIMARY,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,18.611351,-34.050866,WCED,TO BE UPDA,NEBO,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,CPT,CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,19100078,78,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,METRO SOUTH,06,,TO BE UPDATED,V.,SICKLE,114,SILVERSANDS,AVENUE,114 SILVERSANDS AVENUE,,PORTLAND,MITCHELLS PLAIN,7785,"114 SILVERSANDS AVENUE,PORTLAND,MITCHELLS PLAIN,7785",POST OFFICE,PORTLAND,7785,"POST OFFICE,PORTLAND,7785",0213913337,,URBAN,NO,TO BE UPDATED,TO BE UPDATED,Y,MITCHELLS PLAIN,URBAN,01/01/1900,,0,FALSE,FALSE,WC,WC,106008224,106008224,YES,DECEMBER 2007 SUBMISSION,TO BE UPDATED,TO BE UPDATED,,,,,,,,,,312,6,104,,,,,,,FALSE,,,,
600140000,,6,NW,4L'S PRE SCHOOL,4L'S,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,,,TO BE UPDATED,TO BE UPDA,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,THE,MANAGER,,,,,,,,,,,,,,,,TO BE UPDATED,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,,,0,FALSE,FALSE,TO BE UPDATED,TO BE UPDATED,,,TO BE UPDATED,TO BE UPDATED,,TO BE UPDATED,,,,,,,,,,354,12,35,,,,,,,FALSE,,,,
445503397,445503397,4,FS,4-U PRE-SCHOOL,4-U,OPEN,INDEPENDENT,EARLY CHILDHOOD DEVELOPMENT CENTRE,PRE-PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,PUBLIC,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,TO BE UPDATED,99,NOT APPLICABLE,27.88099,-28.88672,FSED 2007,340,FICKSBURG,DC19,THABO MOFUTSANYANE DISTRICT MUNICIPALITY,FS191,SETSOTO LOCAL MUNICIPALITY,41901015,15,TO BE UPDATED,TO BE UPDATED,NOT APPLICABLE,THABO MOFUTSANYANA,TO BE UPDATED,3/29/2012 3:37:03 PM,UNKNOWN,THE,MANAGER,18,SEMONIA,STREET,18 SEMONIA STREET,,CALEDONPARK,FICKSBURG,9730,"18 SEMONIA STREET,CALEDONPARK,FICKSBURG,9730",POST OFFICE,"CALEDON-PARK,FICKSBURG",9730,"POST OFFICE,CALEDON-PARK,FICKSBURG,9730",,,Urban,NOT APPLICABLE,NOT APPLICABLE,TO BE UPDATED,N,NOT APPLICABLE,NOT APPLICABLE,,,0,FALSE,FALSE,FS,FS,445503397,445503397,YES,TO BE UPDATED,FS45503397,TO BE UPDATED,,,,,,,,,,,,,,,,,,,FALSE,,,,
